FIELD,CALIB,ZP_U,ZP_F378,ZP_F395,ZP_F410,ZP_F430,ZP_G,ZP_F515,ZP_R,ZP_F660,ZP_I,ZP_F861,ZP_Z
STRIPE82_0075,Calibration_XPSP_GALEX_0,20.8893,20.255,20.2979,21.2034,21.3479,23.6576,21.5928,23.67,21.1362,23.4036,21.6849,22.82
STRIPE82_0075,Calibration_XPSP,20.89497,20.25047,20.29337,21.19887,21.34337,23.65307,21.58827,23.66547,21.13167,23.39907,21.68037,22.81547
STRIPE82_0075,Calibration_Utest1_iDR5_3_Main,20.9206,20.2547,20.2976,21.2031,21.3476,23.6573,21.5925,23.6697,21.1359,23.4033,21.6846,22.8197
STRIPE82_0075,Calibration_iDR5_3_Main,20.8941,20.2547,20.2976,21.2031,21.3476,23.6573,21.5925,23.6697,21.1359,23.4033,21.6846,22.8197
STRIPE82_0075,Calibration_Utest2_iDR5_3_Main,20.9205,20.2547,20.2976,21.2031,21.3476,23.6573,21.5925,23.6697,21.1359,23.4033,21.6846,22.8197
STRIPE82_0076,Calibration_XPSP_0,20.6801,20.1254,20.183,21.1152,21.2769,23.612,21.5462,23.6372,21.1178,23.3919,21.672,22.8331
STRIPE82_0076,Calibration_XPSP_GAIA3,20.67587,20.12497,20.18257,21.11477,21.27647,23.61157,21.54577,23.63677,21.11737,23.39147,21.67157,22.83267
STRIPE82_0076,Calibration_XPSP_GALEX_0,20.6823,20.1269,20.1845,21.1167,21.2784,23.6135,21.5477,23.6387,21.1193,23.3934,21.6735,22.8346
STRIPE82_0076,Calibration_XPSP,20.6801,20.1254,20.183,21.1152,21.2769,23.612,21.5462,23.6372,21.1178,23.3919,21.672,22.8331
STRIPE82_0076,Calibration_Utest1_iDR5_3_Main,20.7209,20.131,20.1886,21.1208,21.2825,23.6176,21.5518,23.6428,21.1234,23.3975,21.6776,22.8387
STRIPE82_0076,Calibration_iDR5_3_Main,20.6819,20.131,20.1886,21.1208,21.2825,23.6176,21.5518,23.6428,21.1234,23.3975,21.6776,22.8387
STRIPE82_0076,Calibration_Utest2_iDR5_3_Main,20.7216,20.131,20.1886,21.1208,21.2825,23.6176,21.5518,23.6428,21.1234,23.3975,21.6776,22.8387
STRIPE82_0084,Calibration_XPSP_0,20.8519,20.218,20.2719,21.1738,21.3223,23.6443,21.5696,23.6407,21.11,23.3868,21.6605,22.8247
STRIPE82_0084,Calibration_XPSP_GAIA3,20.85577,20.21747,20.27137,21.17327,21.32177,23.64377,21.56907,23.64017,21.10947,23.38627,21.65997,22.82417
STRIPE82_0084,Calibration_XPSP_GALEX_0,20.83373,20.22123,20.27513,21.17703,21.32553,23.64753,21.57283,23.64393,21.11323,23.39003,21.66373,22.82793
STRIPE82_0084,Calibration_XPSP,20.8519,20.218,20.2719,21.1738,21.3223,23.6443,21.5696,23.6407,21.11,23.3868,21.6605,22.8247
STRIPE82_0084,Calibration_Utest1_iDR5_3_Main,20.8897,20.2313,20.2852,21.1871,21.3356,23.6576,21.5829,23.654,21.1233,23.4001,21.6738,22.838
