FIELD,CALIB,ZP_GAIA3_BP,ZP_GAIA3_G,ZP_GAIA3_RP
HYDRA_0092,Calibration_XPSP,0.0061,0.003,-0.0003
HYDRA_0092,Calibration_iDR5_3_Main,0.0043,0.0033,0.0016
HYDRA_0094,Calibration_XPSP_GAIA3,0.0043,0.0039,0.002
HYDRA_0094,Calibration_XPSP,0.0063,0.004,0.0006
HYDRA_0094,Calibration_iDR5_3_Main,0.0043,0.0039,0.002
HYDRA_0097,Calibration_XPSP_GAIA3,0.0059,0.0027,0.0015
HYDRA_0097,Calibration_XPSP,0.0087,0.0033,-0.0002
HYDRA_0097,Calibration_iDR5_3_Main,0.0059,0.0027,0.0015
HYDRA_0098,Calibration_XPSP_GAIA3,0.0041,0.0034,0.0019
HYDRA_0098,Calibration_XPSP,0.0059,0.0028,-0.0
HYDRA_0098,Calibration_iDR5_3_Main,0.0041,0.0034,0.0019
HYDRA_0099,Calibration_XPSP_GAIA3,0.0058,0.0024,-0.0003
HYDRA_0099,Calibration_XPSP,0.0083,0.0029,-0.0007
HYDRA_0099,Calibration_iDR5_3_Main,0.0058,0.0024,-0.0003
HYDRA_0100,Calibration_XPSP_GAIA3,0.0048,0.0034,0.0015
HYDRA_0100,Calibration_XPSP,0.0063,0.0034,0.0002
HYDRA_0100,Calibration_iDR5_3_Main,0.0048,0.0034,0.0015
HYDRA_0101,Calibration_XPSP_GAIA3,0.005,0.0041,0.0025
HYDRA_0101,Calibration_XPSP,0.0061,0.0038,0.0012
HYDRA_0101,Calibration_iDR5_3_Main,0.005,0.0041,0.0025
HYDRA_0105,Calibration_XPSP_GAIA3,0.0051,0.0025,0.0024
HYDRA_0105,Calibration_XPSP,0.0082,0.003,0.0011
HYDRA_0105,Calibration_iDR5_3_Main,0.0051,0.0025,0.0024
HYDRA_0106,Calibration_XPSP_GAIA3,0.0041,0.0019,0.0002
HYDRA_0106,Calibration_XPSP,0.0045,0.0013,-0.0022
HYDRA_0106,Calibration_iDR5_3_Main,0.0041,0.0019,0.0002
HYDRA_0107,Calibration_XPSP_GAIA3,0.0062,0.0027,-0.0001
HYDRA_0107,Calibration_XPSP,0.0074,0.0026,-0.001
HYDRA_0107,Calibration_iDR5_3_Main,0.0062,0.0027,-0.0001
HYDRA_0108,Calibration_XPSP_GAIA3,0.0044,0.0024,0.0012
HYDRA_0108,Calibration_XPSP,0.0064,0.0027,0.0001
HYDRA_0108,Calibration_iDR5_3_Main,0.0044,0.0024,0.0012
HYDRA_0109,Calibration_XPSP_GAIA3,0.0042,0.0027,0.0016
HYDRA_0109,Calibration_XPSP,0.0054,0.0027,0.0003
HYDRA_0109,Calibration_iDR5_3_Main,0.0042,0.0027,0.0016
HYDRA_0110,Calibration_XPSP_GAIA3,0.0049,0.004,0.0027
HYDRA_0110,Calibration_XPSP,0.006,0.0034,0.001
HYDRA_0110,Calibration_iDR5_3_Main,0.0049,0.004,0.0027
HYDRA_0113,Calibration_XPSP_GAIA3,0.0058,0.0018,0.0004
HYDRA_0113,Calibration_XPSP,0.0103,0.003,-0.002
HYDRA_0113,Calibration_iDR5_3_Main,0.0058,0.0018,0.0004
HYDRA_0114,Calibration_XPSP_GAIA3,0.0079,0.0032,0.0013
HYDRA_0114,Calibration_XPSP,0.015,0.0049,-0.0014
HYDRA_0114,Calibration_iDR5_3_Main,0.0079,0.0032,0.0013
HYDRA_0115,Calibration_XPSP_GAIA3,0.0065,0.0015,0.0003
HYDRA_0115,Calibration_XPSP,0.0101,0.0024,-0.0013
HYDRA_0115,Calibration_iDR5_3_Main,0.0065,0.0015,0.0003
HYDRA_0116,Calibration_XPSP_GAIA3,0.0046,0.0013,0.0004
HYDRA_0116,Calibration_XPSP,0.0069,0.0016,-0.0012
