Field,ZP_gaiascale
STRIPE82-0076,0.015
STRIPE82-0077,0.001
STRIPE82-0078,0.015
STRIPE82-0079,0.006
STRIPE82-0080,0.014
STRIPE82-0100,0.023
STRIPE82-0101,0.015
STRIPE82-0102,0.024
STRIPE82-0103,0.011
STRIPE82-0104,0.019
STRIPE82-0105,0.006
STRIPE82-0106,0.017
STRIPE82-0107,0.011
STRIPE82-0108,0.023
STRIPE82-0109,0.019
STRIPE82-0110,0.02
STRIPE82-0111,0.007
STRIPE82-0112,0.018
STRIPE82-0113,0.015
STRIPE82-0114,0.016
STRIPE82-0115,0.017
STRIPE82-0116,0.024
STRIPE82-0117,0.022
STRIPE82-0118,0.027
STRIPE82-0119,0.018
STRIPE82-0120,0.029
STRIPE82-0121,0.017
STRIPE82-0122,0.026
STRIPE82-0123,0.018
STRIPE82-0124,0.006
STRIPE82-0125,0.004
STRIPE82-0126,0.013
STRIPE82-0127,0.001
STRIPE82-0128,0.015
STRIPE82-0129,0.012
STRIPE82-0130,0.025
STRIPE82-0131,0.007
STRIPE82-0132,0.025
STRIPE82-0133,0.009
STRIPE82-0134,0.025
STRIPE82-0135,0.01
STRIPE82-0136,0.024
STRIPE82-0137,0.012
STRIPE82-0138,0.014
STRIPE82-0139,0.012
STRIPE82-0140,0.007
STRIPE82-0141,0.013
STRIPE82-0142,0.019
STRIPE82-0143,0.012
STRIPE82-0144,0.017
STRIPE82-0145,0.01
STRIPE82-0146,0.018
STRIPE82-0147,0.004
STRIPE82-0148,0.009
STRIPE82-0149,0.011
STRIPE82-0150,0.022
STRIPE82-0151,0.016
STRIPE82-0152,0.024
STRIPE82-0153,0.016
STRIPE82-0154,0.025
STRIPE82-0155,0.019
STRIPE82-0156,0.018
STRIPE82-0157,0.017
STRIPE82-0158,0.022
STRIPE82-0159,0.014
STRIPE82-0160,0.023
STRIPE82-0161,0.013
STRIPE82-0162,0.02
STRIPE82-0163,0.015
STRIPE82-0164,0.022
STRIPE82-0165,0.016
STRIPE82-0166,0.024
STRIPE82-0167,0.013
STRIPE82-0168,0.02
STRIPE82-0169,0.015
STRIPE82-0170,0.018
STRIPE82-0081,-0.006
STRIPE82-0082,-0.012
STRIPE82-0083,-0.013
STRIPE82-0084,-0.019
STRIPE82-0085,-0.054
STRIPE82-0086,-0.033
STRIPE82-0087,0.029
STRIPE82-0088,0.004
STRIPE82-0089,0.014
STRIPE82-0090,0.009
STRIPE82-0091,0.002
STRIPE82-0092,0.01
STRIPE82-0093,0.008
STRIPE82-0094,-0.062
STRIPE82-0095,0.004
STRIPE82-0096,0.003
STRIPE82-0097,-0.005
STRIPE82-0098,0.013
STRIPE82-0099,0.008
HYDRA-0011,0.015
HYDRA-0012,0.014
HYDRA-0013,0.017
HYDRA-0014,0.013
HYDRA-0015,0.015
HYDRA-0016,0.016
HYDRA-0017,0.014
