Field,ZP_gaiascale
SPLUS-s28s42,0.021
SPLUS-s28s43,0.023
SPLUS-s28s44,0.019
SPLUS-s28s45,0.024
SPLUS-s28s46,0.02
SPLUS-s28s47,0.014
SPLUS-s28s48,0.012
SPLUS-s28s49,0.018
SPLUS-s29s28,0.02
SPLUS-s29s29,0.021
SPLUS-s29s30,0.02
SPLUS-s29s31,0.023
SPLUS-s29s32,0.02
SPLUS-s29s33,0.021
SPLUS-s29s34,0.019
SPLUS-s29s35,0.021
SPLUS-s29s36,0.023
SPLUS-s29s37,0.026
SPLUS-s29s38,0.022
SPLUS-s29s39,0.02
SPLUS-s29s40,0.018
SPLUS-s29s41,0.024
SPLUS-s29s42,0.03
SPLUS-s29s43,0.021
SPLUS-s29s44,0.019
SPLUS-s29s45,0.02
SPLUS-s29s46,0.016
SPLUS-s29s47,0.015
SPLUS-s29s48,0.016
SPLUS-s29s65,0.021
SPLUS-s30s23,0.026
SPLUS-s30s28,0.022
SPLUS-s30s29,0.021
SPLUS-s30s30,0.021
SPLUS-s30s31,0.024
SPLUS-s30s32,0.022
SPLUS-s30s33,0.021
SPLUS-s30s34,0.022
SPLUS-s30s35,0.022
SPLUS-s30s36,0.024
SPLUS-s30s37,0.024
SPLUS-s30s38,0.022
SPLUS-s30s39,0.022
SPLUS-s30s40,0.021
SPLUS-s30s41,0.021
SPLUS-s30s42,0.02
SPLUS-s30s43,0.022
SPLUS-s30s45,0.015
SPLUS-s30s47,0.019
SPLUS-s31s10,0.022
SPLUS-s31s23,0.021
SPLUS-s31s28,0.023
SPLUS-s31s29,0.019
SPLUS-s31s30,0.024
SPLUS-s31s31,0.021
SPLUS-s31s32,0.02
SPLUS-s31s33,0.02
SPLUS-s31s34,0.023
SPLUS-s31s35,0.023
SPLUS-s31s36,0.02
SPLUS-s31s37,0.022
SPLUS-s31s38,0.02
SPLUS-s31s39,0.023
SPLUS-s31s40,0.019
SPLUS-s31s41,0.018
SPLUS-s31s42,0.017
SPLUS-s31s44,0.019
SPLUS-s31s45,0.022
SPLUS-s31s58,0.021
SPLUS-s32s22,0.023
SPLUS-s32s28,0.024
SPLUS-s32s29,0.02
SPLUS-s32s30,0.022
SPLUS-s32s31,0.025
SPLUS-s32s32,0.022
SPLUS-s32s33,0.022
SPLUS-s32s34,0.023
SPLUS-s32s35,0.024
SPLUS-s32s36,0.022
SPLUS-s32s37,0.031
SPLUS-s32s38,0.019
SPLUS-s32s39,0.02
SPLUS-s32s40,0.02
SPLUS-s32s41,0.019
SPLUS-s32s42,0.022
SPLUS-s32s43,0.021
SPLUS-s32s44,0.017
SPLUS-s32s45,0.018
SPLUS-s32s65,0.018
SPLUS-s33s06,0.024
SPLUS-s33s29,0.026
SPLUS-s33s30,0.024
SPLUS-s33s31,0.024
SPLUS-s33s32,0.025
SPLUS-s33s33,0.023
SPLUS-s33s34,0.025
SPLUS-s33s35,0.021
SPLUS-s33s36,0.021
SPLUS-s33s37,0.024
SPLUS-s33s38,0.02
SPLUS-s33s39,0.016
SPLUS-s33s40,0.018
SPLUS-s33s41,0.021
SPLUS-s33s43,0.018
SPLUS-s33s44,0.021
SPLUS-s34s21,0.021
SPLUS-s34s28,0.023
SPLUS-s34s29,0.025
SPLUS-s34s30,0.021
SPLUS-s34s31,0.023
SPLUS-s34s32,0.026
SPLUS-s34s33,0.022
SPLUS-s34s34,0.023
SPLUS-s34s35,0.023
SPLUS-s34s36,0.022
SPLUS-s34s38,0.022
SPLUS-s34s39,0.022
SPLUS-s34s40,0.018
SPLUS-s34s41,0.023
SPLUS-s34s42,0.018
SPLUS-s34s43,0.02
SPLUS-s35s28,0.025
SPLUS-s35s29,0.021
SPLUS-s35s30,0.023
SPLUS-s35s31,0.023
SPLUS-s35s32,0.022
SPLUS-s35s33,0.022
SPLUS-s35s34,0.024
SPLUS-s35s35,0.022
SPLUS-s35s38,0.024
SPLUS-s35s39,0.022
SPLUS-s35s40,0.022
SPLUS-s35s41,0.02
SPLUS-s35s45,0.019
SPLUS-s36s17,0.021
SPLUS-s36s28,0.022
SPLUS-s36s29,0.022
SPLUS-s36s30,0.024
SPLUS-s36s31,0.025
SPLUS-s36s32,0.022
SPLUS-s36s33,0.023
SPLUS-s36s34,0.022
SPLUS-s36s35,0.022
SPLUS-s36s36,0.02
SPLUS-s36s37,0.022
SPLUS-s36s38,0.02
SPLUS-s36s39,0.02
SPLUS-s36s40,0.017
SPLUS-s36s41,0.015
SPLUS-s37s28,0.024
SPLUS-s37s29,0.022
SPLUS-s37s30,0.025
SPLUS-s37s31,0.022
SPLUS-s37s32,0.022
SPLUS-s37s33,0.021
SPLUS-s37s34,0.022
SPLUS-s37s35,0.022
SPLUS-s37s36,0.021
SPLUS-s37s37,0.019
SPLUS-s37s38,0.017
SPLUS-s37s39,0.021
SPLUS-s37s44,0.024
SPLUS-s38s05,0.025
SPLUS-s38s27,0.024
SPLUS-s38s28,0.022
SPLUS-s38s29,0.023
SPLUS-s38s30,0.024
SPLUS-s38s31,0.026
SPLUS-s38s32,0.018
SPLUS-s38s33,0.022
SPLUS-s38s34,0.021
SPLUS-s38s35,0.019
SPLUS-s38s36,0.022
SPLUS-s38s37,0.021
SPLUS-s38s38,0.017
SPLUS-s38s47,0.024
SPLUS-s39s20,0.02
SPLUS-s39s24,0.023
SPLUS-s39s25,0.019
SPLUS-s39s27,0.022
SPLUS-s39s28,0.02
SPLUS-s39s29,0.021
SPLUS-s39s30,0.02
SPLUS-s39s31,0.023
SPLUS-s39s32,0.018
SPLUS-s39s33,0.02
SPLUS-s39s34,0.02
SPLUS-s39s35,0.021
SPLUS-s39s36,0.022
SPLUS-s39s37,0.018
SPLUS-s39s38,0.018
SPLUS-s40s26,0.024
SPLUS-s40s27,0.023
SPLUS-s40s28,0.019
SPLUS-s40s29,0.02
SPLUS-s40s30,0.019
SPLUS-s40s31,0.022
SPLUS-s40s32,0.02
SPLUS-s40s33,0.021
SPLUS-s40s34,0.021
SPLUS-s40s35,0.022
SPLUS-s41s26,0.02
SPLUS-s41s27,0.022
SPLUS-s41s28,0.021
SPLUS-s41s29,0.022
SPLUS-s41s30,0.021
SPLUS-s41s31,0.023
SPLUS-s41s32,0.018
SPLUS-s41s33,0.021
SPLUS-s41s34,0.022
SPLUS-s42s25,0.023
SPLUS-s42s25,0.023
SPLUS-s42s26,0.018
SPLUS-s42s27,0.02
SPLUS-s42s28,0.021
SPLUS-s42s29,0.022
SPLUS-s42s30,0.017
SPLUS-s42s32,0.02
SPLUS-s42s33,0.02
SPLUS-s42s34,0.015
SPLUS-s42s51,0.02
SPLUS-s43s21,0.019
SPLUS-s43s22,0.019
SPLUS-s43s24,0.025
SPLUS-s43s25,0.021
SPLUS-s43s26,0.022
SPLUS-s43s27,0.022
SPLUS-s43s28,0.022
SPLUS-s43s29,0.022
SPLUS-s43s32,0.019
SPLUS-s43s46,0.021
SPLUS-s44s23,0.023
SPLUS-s44s24,0.021
SPLUS-s44s25,0.021
SPLUS-s44s26,0.022
SPLUS-s44s27,0.022
SPLUS-s44s28,0.019
SPLUS-s44s29,0.022
SPLUS-s44s30,0.019
SPLUS-s44s31,0.021
SPLUS-s45s22,0.021
SPLUS-s45s23,0.021
SPLUS-s45s24,0.023
SPLUS-s45s25,0.02
SPLUS-s45s26,0.02
SPLUS-s45s27,0.022
SPLUS-s45s28,0.022
SPLUS-s45s29,0.019
SPLUS-s45s30,0.019
SPLUS-s45s31,0.018
SPLUS-s45s41,0.023
SPLUS-s46s01,0.021
SPLUS-s46s02,0.022
SPLUS-s46s22,0.02
SPLUS-s46s23,0.019
SPLUS-s46s24,0.019
SPLUS-s46s25,0.021
SPLUS-s46s26,0.018
SPLUS-s46s27,0.019
SPLUS-s46s28,0.021
SPLUS-s46s29,0.019
SPLUS-s46s32,0.018
SPLUS-s46s40,0.02
HYDRA-0061,0.016
HYDRA-0114,0.005
HYDRA-0120,0.008
HYDRA-0121,0.002
HYDRA-0122,0.002
HYDRA-0126,0.011
HYDRA-0129,-0.002
HYDRA-0130,0.003
HYDRA-0131,0.006
HYDRA-0137,-0.004
HYDRA-0138,0.003
HYDRA-0139,0.005
HYDRA-0145,0.004
HYDRA-0148,0.002
HYDRA-0152,-0.005
HYDRA-0160,-0.005
HYDRA-0161,-0.001
SPLUS-n01s18,0.019
SPLUS-n01s26,0.02
SPLUS-n01s28,0.018
SPLUS-n02n20,0.02
SPLUS-n02n25,0.021
SPLUS-n02n44,0.021
SPLUS-n02s18,0.023
SPLUS-n02s19,0.021
SPLUS-n02s20,0.023
SPLUS-n02s26,0.018
SPLUS-n03s20,0.019
SPLUS-n03s21,0.022
SPLUS-n08s43,0.019
SPLUS-n09s37,0.016
SPLUS-n09s38,0.015
SPLUS-n09s39,0.018
SPLUS-n10s04,0.019
SPLUS-n10s05,0.016
SPLUS-n10s06,0.016
SPLUS-n10s37,0.017
SPLUS-n10s38,0.018
SPLUS-n11s28,0.018
SPLUS-n12s27,0.022
SPLUS-n13s25,0.021
SPLUS-n13s28,0.019
SPLUS-n14s09,0.022
SPLUS-n14s16,0.019
SPLUS-n15s22,0.016
SPLUS-n16s16,0.02
SPLUS-n16s21,0.019
SPLUS-n17s15,0.02
SPLUS-s02s09,0.014
SPLUS-s21s31,0.016
SPLUS-s23s01,0.019
SPLUS-s23s02,0.021
SPLUS-s23s10,0.018
SPLUS-s23s11,0.023
SPLUS-s23s30,0.018
SPLUS-s23s39,0.024
SPLUS-s23s41,0.02
SPLUS-s24s01,0.02
SPLUS-s24s22,0.023
SPLUS-s24s32,0.026
SPLUS-s24s36,0.021
SPLUS-s24s56,0.02
SPLUS-s24s58,0.018
SPLUS-s24s67,0.025
SPLUS-s24s68,0.02
SPLUS-s25s35,0.021
SPLUS-s25s36,0.021
SPLUS-s25s51,0.008
SPLUS-s26s40,0.024
SPLUS-s26s41,0.02
SPLUS-s27s40,0.023
SPLUS-s28s35,0.025
SPLUS-s33s42,0.021
SPLUS-s34s37,0.023
SPLUS-s35s36,0.021
SPLUS-s35s37,0.021
SPLUS-s36s48,0.018
SPLUS-s37s20,0.018
SPLUS-s40s17,0.022
SPLUS-s42s31,0.021
SPLUS-s43s30,0.021
SPLUS-s43s31,0.022
HYDRA-0065,0.011
HYDRA-0066,0.013
HYDRA-0109,0.028
SPLUS-s42s20,0.029
MC0001,-0.035
MC0002,-0.033
MC0003,-0.035
MC0004,-0.036
MC0005,-0.039
MC0006,-0.04
MC0007,-0.038
MC0008,-0.039
MC0009,-0.039
MC0010,-0.039
MC0011,-0.036
MC0012,-0.036
MC0013,-0.038
MC0014,-0.036
MC0015,-0.04
MC0016,-0.04
MC0017,-0.042
MC0018,-0.038
MC0019,-0.038
MC0020,-0.04
MC0021,-0.035
MC0027,-0.041
MC0028,-0.042
MC0029,-0.039
MC0036,-0.04
MC0044,-0.041
MC0045,-0.037
MC0046,-0.032
MC0047,-0.034
MC0048,-0.038
MC0049,-0.036
MC0050,-0.033
MC0051,-0.032
MC0052,-0.034
MC0053,-0.034
MC0054,-0.036
MC0055,-0.033
MC0056,-0.034
MC0057,-0.035
MC0058,-0.036
MC0059,-0.039
MC0060,-0.038
MC0061,-0.04
MC0068,-0.042
MC0069,-0.036
MC0070,-0.036
MC0071,-0.033
MC0072,-0.039
MC0073,-0.034
MC0074,-0.035
MC0075,-0.031
MC0076,-0.03
MC0077,-0.035
MC0078,-0.032
MC0080,-0.035
MC0081,-0.035
MC0082,-0.038
MC0083,-0.042
MC0084,-0.043
MC0091,-0.041
MC0092,
MC0093,-0.039
MC0096,-0.035
MC0097,-0.036
MC0098,-0.032
MC0099,-0.026
MC0100,-0.033
MC0101,-0.032
MC0102,-0.036
MC0103,-0.036
MC0104,-0.04
MC0105,-0.042
MC0106,-0.042
MC0107,-0.043
MC0108,-0.046
MC0109,-0.047
MC0110,-0.043
MC0112,-0.043
MC0113,-0.035
MC0118,-0.036
MC0119,-0.034
MC0120,-0.035
MC0121,-0.037
MC0122,-0.036
MC0123,-0.036
MC0124,-0.041
MC0125,-0.04
MC0126,-0.042
MC0127,-0.041
MC0129,-0.043
MC0130,-0.044
MC0131,-0.042
MC0132,-0.043
MC0133,-0.035
MC0134,-0.038
MC0135,-0.037
MC0136,-0.037
MC0137,-0.035
MC0138,-0.035
MC0139,-0.036
MC0140,-0.036
MC0141,-0.038
MC0142,-0.039
MC0143,-0.043
MC0144,-0.042
MC0145,-0.041
MC0146,-0.04
MC0147,-0.041
MC0148,-0.042
MC0149,-0.044
MC0150,-0.045
MC0030,-0.05
MC0031,-0.052
MC0038,-0.058
MC0039,-0.059
MC0040,-0.058
MC0041,-0.058
MC0062,-0.052
MC0066,-0.06
MC0067,-0.045
MC0086,-0.047
MC0087,-0.057
MC0088,-0.062
MC0089,-0.049
MC0090,-0.046
MC0094,-0.047
MC0095,-0.044
MC0111,-0.058
MC0114,-0.045
MC0115,-0.045
MC0116,-0.044
MC0022,-0.037
MC0023,-0.033
MC0024,-0.047
MC0025,-0.039
MC0026,-0.038
MC0032,-0.05
MC0033,-0.047
MC0034,-0.039
MC0035,-0.039
MC0037,-0.035
MC0042,-0.045
MC0043,-0.033
MC0079,-0.024
MC0085,-0.041
MC0117,-0.034
MC0128,-0.033
MC0063,-0.044
MC0064,-0.057
MC0065,-0.055
SPLUS-d020,-0.071
SPLUS-d023,-0.071
SPLUS-d024,-0.06
SPLUS-d025,-0.063
SPLUS-d029,-0.08
SPLUS-d035,-0.063
SPLUS-d036,-0.069
SPLUS-d037,-0.06
SPLUS-d038,-0.067
SPLUS-d043,-0.071
SPLUS-d049,-0.016
SPLUS-d050,-0.064
SPLUS-d051,-0.027
SPLUS-d052,-0.069
SPLUS-d057,-0.054
SPLUS-d058,-0.058
SPLUS-d059,-0.056
SPLUS-d061,-0.061
SPLUS-d065,-0.065
SPLUS-d073,-0.057
SPLUS-d074,-0.059
SPLUS-d088,-0.052
SPLUS-d090,-0.058
SPLUS-d097,-0.066
SPLUS-d098,-0.063
SPLUS-d106,-0.012
SPLUS-d115,-0.064
SPLUS-d120,-0.042
SPLUS-d121,-0.056
SPLUS-d130,-0.06
SPLUS-d137,-0.045
SPLUS-d138,-0.039
SPLUS-d139,-0.054
SPLUS-d142,-0.057
SPLUS-d152,-0.032
SPLUS-d153,-0.044
SPLUS-d154,-0.037
SPLUS-d161,-0.061
SPLUS-d168,-0.043
SPLUS-d169,-0.043
SPLUS-d170,-0.046
SPLUS-d172,-0.049
SPLUS-d177,-0.064
SPLUS-d178,-0.062
SPLUS-d179,-0.065
SPLUS-d181,-0.059
SPLUS-d184,-0.04
SPLUS-d185,-0.043
SPLUS-d187,-0.049
SPLUS-d188,-0.05
SPLUS-d190,-0.061
SPLUS-d196,-0.057
SPLUS-d200,-0.044
SPLUS-d201,-0.045
SPLUS-d202,-0.045
SPLUS-d203,-0.048
SPLUS-d207,-0.058
SPLUS-d209,-0.063
SPLUS-d210,-0.046
SPLUS-d211,-0.064
SPLUS-d213,-0.064
SPLUS-d215,-0.055
SPLUS-d216,-0.042
SPLUS-d218,-0.012
SPLUS-d220,-0.05
SPLUS-d223,-0.061
SPLUS-d224,-0.064
SPLUS-d226,-0.059
SPLUS-d227,-0.06
SPLUS-d228,-0.066
SPLUS-d231,-0.056
SPLUS-d232,-0.045
SPLUS-d233,-0.038
SPLUS-d235,-0.048
SPLUS-d236,-0.05
SPLUS-d239,-0.064
SPLUS-d240,-0.041
SPLUS-d242,-0.075
SPLUS-d243,-0.092
SPLUS-d245,-0.005
SPLUS-d246,-0.06
SPLUS-d247,-0.056
SPLUS-d248,-0.048
SPLUS-d249,-0.05
SPLUS-d250,-0.049
SPLUS-d251,-0.053
SPLUS-d252,-0.043
SPLUS-d253,-0.055
SPLUS-d254,-0.057
SPLUS-d255,-0.058
SPLUS-d256,-0.065
SPLUS-d257,-0.067
SPLUS-d258,-0.074
SPLUS-d259,-0.065
SPLUS-d260,-0.067
SPLUS-d261,-0.064
SPLUS-d262,-0.061
SPLUS-d263,-0.06
SPLUS-d264,-0.056
SPLUS-d266,-0.052
SPLUS-d267,-0.052
SPLUS-d270,-0.056
SPLUS-d271,-0.061
SPLUS-d273,-0.054
SPLUS-d274,-0.07
SPLUS-d276,-0.073
SPLUS-d278,-0.067
SPLUS-d279,-0.064
SPLUS-d280,-0.061
SPLUS-d282,-0.059
SPLUS-d283,-0.053
SPLUS-d288,-0.06
SPLUS-d294,-0.06
SPLUS-d295,-0.059
SPLUS-d297,-0.063
SPLUS-d298,-0.052
SPLUS-d304,-0.068
SPLUS-d306,-0.056
SPLUS-d308,-0.069
SPLUS-d309,-0.073
SPLUS-d310,-0.069
SPLUS-d313,-0.063
SPLUS-d321,-0.066
SPLUS-d324,-0.058
SPLUS-d325,-0.068
SPLUS-d326,-0.072
SPLUS-d328,-0.071
SPLUS-d329,-0.075
SPLUS-d330,-0.07
SPLUS-d331,-0.059
SPLUS-d336,-0.071
SPLUS-d343,-0.069
SPLUS-d344,-0.072
SPLUS-d345,-0.071
SPLUS-d346,-0.075
SPLUS-d347,-0.051
SPLUS-d356,-0.066
SPLUS-d358,-0.064
SPLUS-d360,-0.066
SPLUS-d361,-0.063
SPLUS-d362,-0.134
SPLUS-d375,-0.052
SPLUS-d376,-0.046
SPLUS-d377,-0.058
SPLUS-d386,-0.062
SPLUS-d390,-0.065
SPLUS-d391,-0.052
SPLUS-d392,-0.059
SPLUS-d393,-0.052
SPLUS-d406,-0.052
SPLUS-d407,-0.049
SPLUS-d420,-0.077
SPLUS-d421,-0.049
SPLUS-d433,-0.059
SPLUS-d434,-0.05
SPLUS-d435,-0.059
SPLUS-d443,-0.076
SPLUS-d445,-0.11
SPLUS-d446,-0.07
SPLUS-d452,-0.062
SPLUS-d455,-0.076
SPLUS-d456,-0.073
SPLUS-d457,-0.071
SPLUS-d466,-0.079
SPLUS-d467,-0.07
SPLUS-d468,-0.075
SPLUS-d477,-0.076
SPLUS-d478,-0.077
SPLUS-d487,-0.077
SPLUS-d504,-0.072
SPLUS-d510,-0.066
SPLUS-d511,-0.077
SPLUS-d517,-0.066
SPLUS-d522,-0.06
