FIELD,CALIB,ZP_GAIA3_BP,ZP_GAIA3_G,ZP_GAIA3_RP
MC0130,Calibration_iDR5_3_PSF,0.0094,0.0062,0.0046
MC0131,Calibration_iDR5_3_PSF,0.0097,0.0052,0.0026
MC0132,Calibration_iDR5_3_PSF,0.006,0.0031,0.0017
MC0133,Calibration_iDR5_3_PSF,0.0053,0.0042,0.0029
MC0134,Calibration_iDR5_3_PSF,0.0089,0.0064,0.006
MC0135,Calibration_iDR5_3_PSF,0.0074,0.0041,0.0022
MC0136,Calibration_iDR5_3_PSF,0.0055,0.0046,0.0034
MC0137,Calibration_iDR5_3_PSF,0.0028,0.0027,0.0022
MC0138,Calibration_iDR5_3_PSF,0.0015,0.0021,0.0032
MC0139,Calibration_iDR5_3_PSF,0.0039,0.0043,0.0023
MC0140,Calibration_iDR5_3_PSF,0.0047,0.0041,0.002
MC0141,Calibration_iDR5_3_PSF,0.006,0.0043,0.0026
MC0142,Calibration_iDR5_3_PSF,0.008,0.0054,0.002
MC0143,Calibration_iDR5_3_PSF,0.0094,0.0059,0.002
MC0144,Calibration_iDR5_3_PSF,0.007,0.0048,0.0023
MC0145,Calibration_iDR5_3_PSF,0.0054,0.005,0.0035
MC0146,Calibration_iDR5_3_PSF,0.0072,0.0047,0.003
MC0147,Calibration_iDR5_3_PSF,0.0078,0.0054,0.0031
MC0148,Calibration_iDR5_3_PSF,0.0091,0.005,0.0024
MC0149,Calibration_iDR5_3_PSF,0.008,0.0048,0.0019
MC0150,Calibration_iDR5_3_PSF,0.0109,0.0059,0.0021
SPLUS-b002,Calibration_iDR5_3_PSF,0.1003,0.0663,0.0068
SPLUS-b009,Calibration_iDR5_3_PSF,0.0388,0.0274,-0.0019
SPLUS-b010,Calibration_iDR5_3_PSF,0.0958,0.0625,0.0167
SPLUS-b012,Calibration_iDR5_3_PSF,0.0665,0.0376,0.0039
SPLUS-b015,Calibration_iDR5_3_PSF,0.0465,0.026,0.0048
SPLUS-b016,Calibration_iDR5_3_PSF,0.0562,0.0235,0.0079
