iDR5_Field_Name,Field_1,NAME,FIELD_2,CALIB,ZP_GAIA3_BP,ZP_GAIA3_G,ZP_GAIA3_RP,ZP_GAIA3
HYDRA_0040,HYDRA-0040,HYDRA_0040,HYDRA_0040,Calibration_iDR5_3_Main,0.0041,0.0021,0.0016,0.0026
HYDRA-0041,HYDRA-0041,HYDRA_0041,HYDRA-0041,Calibration_iDR5_3_Main,0.0043,0.0024,0.0013,0.0026666669
HYDRA_0042,HYDRA-0042,HYDRA_0042,HYDRA_0042,Calibration_iDR5_3_Main,0.0038,0.0028,0.0013,0.0026333332
HYDRA_0043,HYDRA-0043,HYDRA_0043,HYDRA_0043,Calibration_iDR5_3_Main,0.006,0.0057,0.0031,0.0049333335
HYDRA-0044,HYDRA-0044,HYDRA_0044,HYDRA-0044,Calibration_iDR5_3_Main,0.0045,0.004,0.0019,0.003466667
HYDRA-0045,HYDRA-0045,HYDRA_0045,HYDRA-0045,Calibration_iDR5_3_Main,0.0047,0.0032,0.0021,0.0033333332
HYDRA_0046,HYDRA-0046,HYDRA_0046,HYDRA_0046,Calibration_iDR5_3_Main,0.0035,0.0019,8.0E-4,0.0020666667
HYDRA_0047,HYDRA-0047,HYDRA_0047,HYDRA_0047,Calibration_iDR5_3_Main,0.0045,0.0035,0.0025,0.0034999996
HYDRA-0048,HYDRA-0048,HYDRA_0048,HYDRA-0048,Calibration_iDR5_3_Main,0.0041,0.0032,0.002,0.0031
HYDRA_0049,HYDRA-0049,HYDRA_0049,HYDRA_0049,Calibration_iDR5_3_Main,0.0048,0.0027,0.0016,0.0030333335
HYDRA-0050,HYDRA-0050,HYDRA_0050,HYDRA-0050,Calibration_iDR5_3_Main,0.0044,0.002,0.0014,0.0026
HYDRA_0051,HYDRA-0051,HYDRA_0051,HYDRA_0051,Calibration_iDR5_3_Main,0.005,0.0024,0.0013,0.0029
HYDRA-0052,HYDRA-0052,HYDRA_0052,HYDRA-0052,Calibration_iDR5_3_Main,0.0047,0.0031,0.0013,0.0030333332
HYDRA-0053,HYDRA-0053,HYDRA_0053,HYDRA-0053,Calibration_iDR5_3_Main,0.0038,0.0037,0.0024,0.0033
