iDR5_Field_Name,Field_1,NAME,FIELD_2,CALIB,ZP_GAIA3_BP,ZP_GAIA3_G,ZP_GAIA3_RP,ZP_GAIA3
SPLUS-n02n28,SPLUS-n02n28,SPLUS-n02n28,SPLUS-n02n28,Calibration_iDR5_3_Main,9.0E-4,0.0011,0.0033,0.0017666667
SPLUS-n02n44,SPLUS-n02n44,SPLUS-n02n44,SPLUS-n02n44,Calibration_iDR5_3_Main,0.0022,0.0025,0.0038,0.0028333336
SPLUS-n02n45,SPLUS-n02n45,SPLUS-n02n45,SPLUS-n02n45,Calibration_iDR5_3_Main,0.0033,0.0036,0.0031,0.0033333332
SPLUS-n02n46,SPLUS-n02n46,SPLUS-n02n46,SPLUS-n02n46,Calibration_iDR5_3_Main,0.0069,0.0057,0.0037,0.0054333336
SPLUS-n02n47,SPLUS-n02n47,SPLUS-n02n47,SPLUS-n02n47,Calibration_iDR5_3_Main,0.0026,0.003,0.0024,0.0026666664
SPLUS-n02n48,SPLUS-n02n48,SPLUS-n02n48,SPLUS-n02n48,Calibration_iDR5_3_Main,0.0037,0.0033,0.0019,0.0029666666
SPLUS-n02n49,SPLUS-n02n49,SPLUS-n02n49,SPLUS-n02n49,Calibration_iDR5_3_Main,0.002,0.002,9.0E-4,0.0016333334
SPLUS-n02n50,SPLUS-n02n50,SPLUS-n02n50,SPLUS-n02n50,Calibration_iDR5_3_Main,0.0031,0.0031,0.002,0.0027333333
SPLUS-n02n51,SPLUS-n02n51,SPLUS-n02n51,SPLUS-n02n51,Calibration_iDR5_3_Main,0.0016,0.002,0.0015,0.0016999999
SPLUS-n02n52,SPLUS-n02n52,SPLUS-n02n52,SPLUS-n02n52,Calibration_iDR5_3_Main,0.0018,0.002,0.0029,0.0022333332
SPLUS-n02n53,SPLUS-n02n53,SPLUS-n02n53,SPLUS-n02n53,Calibration_iDR5_3_Main,0.004,0.0028,0.002,0.0029333334
SPLUS-n02n54,SPLUS-n02n54,SPLUS-n02n54,SPLUS-n02n54,Calibration_iDR5_3_Main,0.0045,0.0034,0.0017,0.0032
SPLUS-n02n55,SPLUS-n02n55,SPLUS-n02n55,SPLUS-n02n55,Calibration_iDR5_3_Main,0.0027,0.0017,0.0027,0.0023666667
SPLUS-n02s01,SPLUS-n02s01,SPLUS-n02s01,SPLUS-n02s01,Calibration_iDR5_3_Main,0.0066,0.0058,0.0014,0.0045999996
SPLUS-n02s02,SPLUS-n02s02,SPLUS-n02s02,SPLUS-n02s02,Calibration_iDR5_3_Main,0.0052,0.0049,0.003,0.0043666665
SPLUS-n02s03,SPLUS-n02s03,SPLUS-n02s03,SPLUS-n02s03,Calibration_iDR5_3_Main,0.0079,0.0072,0.0011,0.0053999997
SPLUS-n02s04,SPLUS-n02s04,SPLUS-n02s04,SPLUS-n02s04,Calibration_iDR5_3_Main,0.0072,0.0045,8.0E-4,0.0041666664
SPLUS-n02s05,SPLUS-n02s05,SPLUS-n02s05,SPLUS-n02s05,Calibration_iDR5_3_Main,0.0062,0.0058,0.0017,0.0045666667
SPLUS-n02s06,SPLUS-n02s06,SPLUS-n02s06,SPLUS-n02s06,Calibration_iDR5_3_Main,0.0085,0.0057,0.0014,0.0052
SPLUS-n02s07,SPLUS-n02s07,SPLUS-n02s07,SPLUS-n02s07,Calibration_iDR5_3_Main,0.0064,0.0051,0.0039,0.005133333
SPLUS-n02s08,SPLUS-n02s08,SPLUS-n02s08,SPLUS-n02s08,Calibration_iDR5_3_Main,0.0066,0.0059,0.0023,0.0049333335
SPLUS-n02s09,SPLUS-n02s09,SPLUS-n02s09,SPLUS-n02s09,Calibration_iDR5_3_Main,0.0012,0.0018,-1.0E-4,9.666667E-4
SPLUS-n02s10,SPLUS-n02s10,SPLUS-n02s10,SPLUS-n02s10,Calibration_iDR5_3_Main,0.0056,0.0045,0.0026,0.0042333333
SPLUS-n02s18,SPLUS-n02s18,SPLUS-n02s18,SPLUS-n02s18,Calibration_iDR5_3_Main,3.0E-4,0.0042,0.0037,0.0027333333
SPLUS-n02s19,SPLUS-n02s19,SPLUS-n02s19,SPLUS-n02s19,Calibration_iDR5_3_Main,0.0044,0.0046,0.0028,0.0039333333
SPLUS-n02s20,SPLUS-n02s20,SPLUS-n02s20,SPLUS-n02s20,Calibration_iDR5_3_Main,0.0053,0.0047,0.0038,0.0046
SPLUS-n02s21,SPLUS-n02s21,SPLUS-n02s21,SPLUS-n02s21,Calibration_iDR5_3_Main,0.0033,0.0026,0.0014,0.0024333333
SPLUS-n02s22,SPLUS-n02s22,SPLUS-n02s22,SPLUS-n02s22,Calibration_iDR5_3_Main,5.0E-4,-6.0E-4,-0.0024,-8.333334E-4
SPLUS-n02s23,SPLUS-n02s23,SPLUS-n02s23,SPLUS-n02s23,Calibration_iDR5_3_Main,0.0047,0.0021,0.0016,0.0028
SPLUS-n02s24,SPLUS-n02s24,SPLUS-n02s24,SPLUS-n02s24,Calibration_iDR5_3_Main,0.0077,0.0064,0.0038,0.005966667
SPLUS-n02s25,SPLUS-n02s25,SPLUS-n02s25,SPLUS-n02s25,Calibration_iDR5_3_Main,0.0059,0.0066,0.0056,0.0060333335
SPLUS-n02s26,SPLUS-n02s26,SPLUS-n02s26,SPLUS-n02s26,Calibration_iDR5_3_Main,0.0021,0.0023,0.0026,0.0023333335
SPLUS-n02s27,SPLUS-n02s27,SPLUS-n02s27,SPLUS-n02s27,Calibration_iDR5_3_Main,0.0029,0.0036,0.0037,0.0034
SPLUS-n02s28,SPLUS-n02s28,SPLUS-n02s28,SPLUS-n02s28,Calibration_iDR5_3_Main,0.0024,0.0022,0.0028,0.0024666667
SPLUS-n02s37,SPLUS-n02s37,SPLUS-n02s37,SPLUS-n02s37,Calibration_iDR5_3_Main,0.0031,0.0016,0.0024,0.0023666667
SPLUS-n02s38,SPLUS-n02s38,SPLUS-n02s38,SPLUS-n02s38,Calibration_iDR5_3_Main,0.0016,0.0014,0.0029,0.0019666667
SPLUS-n02s44,SPLUS-n02s44,SPLUS-n02s44,SPLUS-n02s44,Calibration_iDR5_3_Main,0.0041,0.005,5.0E-4,0.0032
SPLUS-n02s45,SPLUS-n02s45,SPLUS-n02s45,SPLUS-n02s45,Calibration_iDR5_3_Main,0.0054,0.0029,0.0023,0.0035333333
SPLUS-n02s46,SPLUS-n02s46,SPLUS-n02s46,SPLUS-n02s46,Calibration_iDR5_3_Main,0.0023,0.001,4.0E-4,0.0012333334
SPLUS-n02s47,SPLUS-n02s47,SPLUS-n02s47,SPLUS-n02s47,Calibration_iDR5_3_Main,0.004,0.004,0.0019,0.0033
SPLUS-n02s48,SPLUS-n02s48,SPLUS-n02s48,SPLUS-n02s48,Calibration_iDR5_3_Main,0.0048,0.0036,0.0026,0.003666667
SPLUS-n02s49,SPLUS-n02s49,SPLUS-n02s49,SPLUS-n02s49,Calibration_iDR5_3_Main,0.0034,0.0019,3.0E-4,0.0018666667
SPLUS-n02s50,SPLUS-n02s50,SPLUS-n02s50,SPLUS-n02s50,Calibration_iDR5_3_Main,0.0023,0.0028,0.0019,0.0023333333
SPLUS-n02s51,SPLUS-n02s51,SPLUS-n02s51,SPLUS-n02s51,Calibration_iDR5_3_Main,0.0027,0.0025,0.0012,0.0021333334
SPLUS-n02s52,SPLUS-n02s52,SPLUS-n02s52,SPLUS-n02s52,Calibration_iDR5_3_Main,0.0022,0.0025,0.0017,0.0021333334
SPLUS-n02s53,SPLUS-n02s53,SPLUS-n02s53,SPLUS-n02s53,Calibration_iDR5_3_Main,0.007,0.0059,0.0042,0.0057
SPLUS-n02s54,SPLUS-n02s54,SPLUS-n02s54,SPLUS-n02s54,Calibration_iDR5_3_Main,0.0042,0.003,0.002,0.0030666667
SPLUS-n02s55,SPLUS-n02s55,SPLUS-n02s55,SPLUS-n02s55,Calibration_iDR5_3_Main,0.0051,0.0031,0.0025,0.0035666667
SPLUS-n03n01,SPLUS-n03n01,SPLUS-n03n01,SPLUS-n03n01,Calibration_iDR5_3_Main,0.0049,0.0041,0.002,0.0036666666
SPLUS-n03n02,SPLUS-n03n02,SPLUS-n03n02,SPLUS-n03n02,Calibration_iDR5_3_Main,0.0026,0.0013,-9.0E-4,0.001
SPLUS-n03n03,SPLUS-n03n03,SPLUS-n03n03,SPLUS-n03n03,Calibration_iDR5_3_Main,0.0059,0.0055,0.0019,0.0044333334
SPLUS-n03n04,SPLUS-n03n04,SPLUS-n03n04,SPLUS-n03n04,Calibration_iDR5_3_Main,0.0081,0.0059,0.0017,0.005233334
SPLUS-n03n22,SPLUS-n03n22,SPLUS-n03n22,SPLUS-n03n22,Calibration_iDR5_3_Main,0.0072,0.0068,0.0039,0.005966667
SPLUS-n03n23,SPLUS-n03n23,SPLUS-n03n23,SPLUS-n03n23,Calibration_iDR5_3_Main,4.0E-4,6.0E-4,6.0E-4,5.3333334E-4
SPLUS-n03n24,SPLUS-n03n24,SPLUS-n03n24,SPLUS-n03n24,Calibration_iDR5_3_Main,0.0054,0.0043,0.0041,0.0046
SPLUS-n03n51,SPLUS-n03n51,SPLUS-n03n51,SPLUS-n03n51,Calibration_iDR5_3_Main,0.0039,0.0029,0.0017,0.002833333
SPLUS-n03n52,SPLUS-n03n52,SPLUS-n03n52,SPLUS-n03n52,Calibration_iDR5_3_Main,0.0024,0.0021,0.0011,0.0018666666
SPLUS-n03n53,SPLUS-n03n53,SPLUS-n03n53,SPLUS-n03n53,Calibration_iDR5_3_Main,0.0023,0.0013,0.0013,0.0016333334
SPLUS-n03n54,SPLUS-n03n54,SPLUS-n03n54,SPLUS-n03n54,Calibration_iDR5_3_Main,0.0032,0.0022,0.0017,0.0023666667
SPLUS-n03n55,SPLUS-n03n55,SPLUS-n03n55,SPLUS-n03n55,Calibration_iDR5_3_Main,0.003,0.0028,0.0019,0.0025666666
SPLUS-n03s01,SPLUS-n03s01,SPLUS-n03s01,SPLUS-n03s01,Calibration_iDR5_3_Main,0.0062,0.0063,0.0027,0.0050666668
SPLUS-n03s02,SPLUS-n03s02,SPLUS-n03s02,SPLUS-n03s02,Calibration_iDR5_3_Main,0.0049,0.0047,0.0023,0.0039666668
SPLUS-n03s03,SPLUS-n03s03,SPLUS-n03s03,SPLUS-n03s03,Calibration_iDR5_3_Main,0.0062,0.0052,0.0018,0.0044
SPLUS-n03s04,SPLUS-n03s04,SPLUS-n03s04,SPLUS-n03s04,Calibration_iDR5_3_Main,0.0081,0.0058,0.0014,0.0051
SPLUS-n03s05,SPLUS-n03s05,SPLUS-n03s05,SPLUS-n03s05,Calibration_iDR5_3_Main,0.008,0.0061,0.0022,0.0054333336
SPLUS-n03s06,SPLUS-n03s06,SPLUS-n03s06,SPLUS-n03s06,Calibration_iDR5_3_Main,0.0043,0.0041,4.0E-4,0.0029333336
SPLUS-n03s07,SPLUS-n03s07,SPLUS-n03s07,SPLUS-n03s07,Calibration_iDR5_3_Main,0.0073,0.0073,0.0025,0.0057
SPLUS-n03s08,SPLUS-n03s08,SPLUS-n03s08,SPLUS-n03s08,Calibration_iDR5_3_Main,0.0081,0.0066,0.0024,0.0057
SPLUS-n03s09,SPLUS-n03s09,SPLUS-n03s09,SPLUS-n03s09,Calibration_iDR5_3_Main,0.0044,0.0037,4.0E-4,0.0028333336
SPLUS-n03s10,SPLUS-n03s10,SPLUS-n03s10,SPLUS-n03s10,Calibration_iDR5_3_Main,0.0056,0.0058,0.0025,0.004633333
SPLUS-n03s18,SPLUS-n03s18,SPLUS-n03s18,SPLUS-n03s18,Calibration_iDR5_3_Main,0.005,0.0045,0.0036,0.0043666665
SPLUS-n03s19,SPLUS-n03s19,SPLUS-n03s19,SPLUS-n03s19,Calibration_iDR5_3_Main,0.004,0.0028,0.0014,0.0027333333
SPLUS-n03s20,SPLUS-n03s20,SPLUS-n03s20,SPLUS-n03s20,Calibration_iDR5_3_Main,0.0041,0.0052,0.0019,0.0037333332
SPLUS-n03s21,SPLUS-n03s21,SPLUS-n03s21,SPLUS-n03s21,Calibration_iDR5_3_Main,0.009,0.0074,0.0049,0.0070999996
SPLUS-n03s22,SPLUS-n03s22,SPLUS-n03s22,SPLUS-n03s22,Calibration_iDR5_3_Main,0.008,0.0068,0.0055,0.006766667
SPLUS-n03s23,SPLUS-n03s23,SPLUS-n03s23,SPLUS-n03s23,Calibration_iDR5_3_Main,0.0052,0.0043,0.003,0.004166667
SPLUS-n03s24,SPLUS-n03s24,SPLUS-n03s24,SPLUS-n03s24,Calibration_iDR5_3_Main,0.0036,0.0046,0.005,0.0044
SPLUS-n03s25,SPLUS-n03s25,SPLUS-n03s25,SPLUS-n03s25,Calibration_iDR5_3_Main,9.0E-4,0.0011,0.0017,0.0012333333
SPLUS-n03s26,SPLUS-n03s26,SPLUS-n03s26,SPLUS-n03s26,Calibration_iDR5_3_Main,0.0038,0.0031,0.0032,0.0033666668
SPLUS-n03s27,SPLUS-n03s27,SPLUS-n03s27,SPLUS-n03s27,Calibration_iDR5_3_Main,0.0047,0.0032,0.003,0.0036333334
SPLUS-n03s28,SPLUS-n03s28,SPLUS-n03s28,SPLUS-n03s28,Calibration_iDR5_3_Main,0.0014,7.0E-4,0.0023,0.0014666667
SPLUS-n03s43,SPLUS-n03s43,SPLUS-n03s43,SPLUS-n03s43,Calibration_iDR5_3_Main,0.0033,0.002,0.0019,0.0024
SPLUS-n03s44,SPLUS-n03s44,SPLUS-n03s44,SPLUS-n03s44,Calibration_iDR5_3_Main,0.0028,0.0021,0.003,0.0026333332
SPLUS-n04n01,SPLUS-n04n01,SPLUS-n04n01,SPLUS-n04n01,Calibration_iDR5_3_Main,0.0046,0.0036,7.0E-4,0.0029666666
SPLUS-n04n51,SPLUS-n04n51,SPLUS-n04n51,SPLUS-n04n51,Calibration_iDR5_3_Main,0.0072,0.0056,0.0027,0.0051666666
SPLUS-n04n52,SPLUS-n04n52,SPLUS-n04n52,SPLUS-n04n52,Calibration_iDR5_3_Main,-9.0E-4,-4.0E-4,-0.0012,-8.333333E-4
SPLUS-n04n53,SPLUS-n04n53,SPLUS-n04n53,SPLUS-n04n53,Calibration_iDR5_3_Main,0.0056,0.0039,0.0035,0.0043333336
SPLUS-n04n54,SPLUS-n04n54,SPLUS-n04n54,SPLUS-n04n54,Calibration_iDR5_3_Main,0.0013,0.0026,0.0014,0.0017666667
SPLUS-n04n55,SPLUS-n04n55,SPLUS-n04n55,SPLUS-n04n55,Calibration_iDR5_3_Main,0.0043,0.0038,0.0033,0.0038
SPLUS-n04s01,SPLUS-n04s01,SPLUS-n04s01,SPLUS-n04s01,Calibration_iDR5_3_Main,0.0064,0.0061,0.0033,0.0052666664
SPLUS-n04s02,SPLUS-n04s02,SPLUS-n04s02,SPLUS-n04s02,Calibration_iDR5_3_Main,0.0065,0.0059,0.0026,0.0050000004
SPLUS-n04s03,SPLUS-n04s03,SPLUS-n04s03,SPLUS-n04s03,Calibration_iDR5_3_Main,0.0025,-7.0E-4,-0.0052,-0.0011333333
SPLUS-n04s04,SPLUS-n04s04,SPLUS-n04s04,SPLUS-n04s04,Calibration_iDR5_3_Main,0.0042,0.0031,-0.0019,0.0017999999
SPLUS-n04s05,SPLUS-n04s05,SPLUS-n04s05,SPLUS-n04s05,Calibration_iDR5_3_Main,0.0058,0.0049,-2.0E-4,0.0035000003
SPLUS-n04s06,SPLUS-n04s06,SPLUS-n04s06,SPLUS-n04s06,Calibration_iDR5_3_Main,0.0127,0.0107,0.005,0.009466667
SPLUS-n04s07,SPLUS-n04s07,SPLUS-n04s07,SPLUS-n04s07,Calibration_iDR5_3_Main,0.0071,0.0064,0.0028,0.0054333336
SPLUS-n04s08,SPLUS-n04s08,SPLUS-n04s08,SPLUS-n04s08,Calibration_iDR5_3_Main,0.0088,0.0088,0.0055,0.0077
SPLUS-n04s09,SPLUS-n04s09,SPLUS-n04s09,SPLUS-n04s09,Calibration_iDR5_3_Main,0.0052,0.0072,0.0043,0.0055666664
SPLUS-n04s10,SPLUS-n04s10,SPLUS-n04s10,SPLUS-n04s10,Calibration_iDR5_3_Main,0.0017,0.0018,-1.0E-4,0.0011333333
SPLUS-n04s23,SPLUS-n04s23,SPLUS-n04s23,SPLUS-n04s23,Calibration_iDR5_3_Main,0.006,0.0041,0.0022,0.0041
SPLUS-n04s41,SPLUS-n04s41,SPLUS-n04s41,SPLUS-n04s41,Calibration_iDR5_3_Main,0.0017,-4.0E-4,-4.0E-4,2.9999999E-4
SPLUS-n04s42,SPLUS-n04s42,SPLUS-n04s42,SPLUS-n04s42,Calibration_iDR5_3_Main,0.0033,0.0021,7.0E-4,0.0020333333
SPLUS-n04s43,SPLUS-n04s43,SPLUS-n04s43,SPLUS-n04s43,Calibration_iDR5_3_Main,0.0031,0.0026,0.0013,0.0023333335
SPLUS-n04s44,SPLUS-n04s44,SPLUS-n04s44,SPLUS-n04s44,Calibration_iDR5_3_Main,0.0027,0.0026,0.0025,0.0026
SPLUS-n05n50,SPLUS-n05n50,SPLUS-n05n50,SPLUS-n05n50,Calibration_iDR5_3_Main,0.0022,0.0026,0.0037,0.0028333336
SPLUS-n05n51,SPLUS-n05n51,SPLUS-n05n51,SPLUS-n05n51,Calibration_iDR5_3_Main,0.0028,0.002,0.0016,0.0021333334
SPLUS-n05n52,SPLUS-n05n52,SPLUS-n05n52,SPLUS-n05n52,Calibration_iDR5_3_Main,0.0032,0.0025,0.0013,0.0023333333
SPLUS-n05n53,SPLUS-n05n53,SPLUS-n05n53,SPLUS-n05n53,Calibration_iDR5_3_Main,0.0061,0.0057,0.0016,0.004466667
SPLUS-n05n54,SPLUS-n05n54,SPLUS-n05n54,SPLUS-n05n54,Calibration_iDR5_3_Main,0.0013,0.0024,7.0E-4,0.0014666667
SPLUS-n05n55,SPLUS-n05n55,SPLUS-n05n55,SPLUS-n05n55,Calibration_iDR5_3_Main,-0.0014,-0.001,-0.0037,-0.0020333333
SPLUS-n05s01,SPLUS-n05s01,SPLUS-n05s01,SPLUS-n05s01,Calibration_iDR5_3_Main,0.0038,0.0044,0.0022,0.0034666667
SPLUS-n05s02,SPLUS-n05s02,SPLUS-n05s02,SPLUS-n05s02,Calibration_iDR5_3_Main,0.0045,0.0049,0.0019,0.0037666664
SPLUS-n05s03,SPLUS-n05s03,SPLUS-n05s03,SPLUS-n05s03,Calibration_iDR5_3_Main,0.004,0.0038,0.0016,0.0031333333
SPLUS-n05s04,SPLUS-n05s04,SPLUS-n05s04,SPLUS-n05s04,Calibration_iDR5_3_Main,0.004,0.0021,-0.0016,0.0014999999
SPLUS-n05s05,SPLUS-n05s05,SPLUS-n05s05,SPLUS-n05s05,Calibration_iDR5_3_Main,0.0041,0.0035,-2.0E-4,0.0024666667
SPLUS-n05s06,SPLUS-n05s06,SPLUS-n05s06,SPLUS-n05s06,Calibration_iDR5_3_Main,0.0018,0.0012,-0.0039,-2.9999996E-4
SPLUS-n05s07,SPLUS-n05s07,SPLUS-n05s07,SPLUS-n05s07,Calibration_iDR5_3_Main,0.0021,0.0023,-0.001,0.0011333333
SPLUS-n05s08,SPLUS-n05s08,SPLUS-n05s08,SPLUS-n05s08,Calibration_iDR5_3_Main,0.0081,0.0067,0.0032,0.0059999996
SPLUS-n05s09,SPLUS-n05s09,SPLUS-n05s09,SPLUS-n05s09,Calibration_iDR5_3_Main,0.0074,0.0055,0.0026,0.005166667
SPLUS-n05s10,SPLUS-n05s10,SPLUS-n05s10,SPLUS-n05s10,Calibration_iDR5_3_Main,-0.0019,7.0E-4,-0.0011,-7.6666666E-4
SPLUS-n05s11,SPLUS-n05s11,SPLUS-n05s11,SPLUS-n05s11,Calibration_iDR5_3_Main,0.0057,0.0061,0.0044,0.0054
SPLUS-n05s43,SPLUS-n05s43,SPLUS-n05s43,SPLUS-n05s43,Calibration_iDR5_3_Main,0.0011,0.0015,8.0E-4,0.0011333333
SPLUS-n05s44,SPLUS-n05s44,SPLUS-n05s44,SPLUS-n05s44,Calibration_iDR5_3_Main,0.0019,0.002,0.0016,0.0018333333
SPLUS-n05s45,SPLUS-n05s45,SPLUS-n05s45,SPLUS-n05s45,Calibration_iDR5_3_Main,0.0029,0.0026,0.003,0.0028333336
SPLUS-n06s01,SPLUS-n06s01,SPLUS-n06s01,SPLUS-n06s01,Calibration_iDR5_3_Main,0.0048,0.0049,0.0033,0.0043333336
SPLUS-n06s02,SPLUS-n06s02,SPLUS-n06s02,SPLUS-n06s02,Calibration_iDR5_3_Main,0.005,0.0058,0.0038,0.0048666666
SPLUS-n06s03,SPLUS-n06s03,SPLUS-n06s03,SPLUS-n06s03,Calibration_iDR5_3_Main,0.0035,0.0036,5.0E-4,0.0025333334
SPLUS-n06s04,SPLUS-n06s04,SPLUS-n06s04,SPLUS-n06s04,Calibration_iDR5_3_Main,0.0076,0.007,0.003,0.005866667
SPLUS-n06s05,SPLUS-n06s05,SPLUS-n06s05,SPLUS-n06s05,Calibration_iDR5_3_Main,0.0039,0.003,-3.0E-4,0.0022
SPLUS-n06s06,SPLUS-n06s06,SPLUS-n06s06,SPLUS-n06s06,Calibration_iDR5_3_Main,-0.0169,-0.0164,-0.0189,-0.017399998
SPLUS-n06s07,SPLUS-n06s07,SPLUS-n06s07,SPLUS-n06s07,Calibration_iDR5_3_Main,0.0064,0.0056,0.0014,0.0044666664
SPLUS-n06s08,SPLUS-n06s08,SPLUS-n06s08,SPLUS-n06s08,Calibration_iDR5_3_Main,0.0037,0.0017,-0.002,0.0011333333
SPLUS-n06s09,SPLUS-n06s09,SPLUS-n06s09,SPLUS-n06s09,Calibration_iDR5_3_Main,0.0034,0.0039,0.0026,0.0033
SPLUS-n06s10,SPLUS-n06s10,SPLUS-n06s10,SPLUS-n06s10,Calibration_iDR5_3_Main,0.0071,0.0082,0.0056,0.006966667
SPLUS-n06s11,SPLUS-n06s11,SPLUS-n06s11,SPLUS-n06s11,Calibration_iDR5_3_Main,0.0033,0.0022,-0.0014,0.0013666666
SPLUS-n06s12,SPLUS-n06s12,SPLUS-n06s12,SPLUS-n06s12,Calibration_iDR5_3_Main,0.0055,0.0061,0.0032,0.0049333335
SPLUS-n06s13,SPLUS-n06s13,SPLUS-n06s13,SPLUS-n06s13,Calibration_iDR5_3_Main,0.0014,3.0E-4,-0.0022,-1.666667E-4
SPLUS-n06s40,SPLUS-n06s40,SPLUS-n06s40,SPLUS-n06s40,Calibration_iDR5_3_Main,0.0028,0.0027,0.0027,0.0027333333
SPLUS-n06s41,SPLUS-n06s41,SPLUS-n06s41,SPLUS-n06s41,Calibration_iDR5_3_Main,0.0025,0.0012,0.0022,0.0019666667
SPLUS-n06s42,SPLUS-n06s42,SPLUS-n06s42,SPLUS-n06s42,Calibration_iDR5_3_Main,0.0017,0.0019,0.0026,0.0020666665
SPLUS-n06s43,SPLUS-n06s43,SPLUS-n06s43,SPLUS-n06s43,Calibration_iDR5_3_Main,0.0023,0.002,0.0016,0.0019666667
SPLUS-n06s44,SPLUS-n06s44,SPLUS-n06s44,SPLUS-n06s44,Calibration_iDR5_3_Main,0.003,0.0023,0.0019,0.0024
SPLUS-n06s45,SPLUS-n06s45,SPLUS-n06s45,SPLUS-n06s45,Calibration_iDR5_3_Main,0.0026,0.0023,0.0014,0.0021
SPLUS-n07s01,SPLUS-n07s01,SPLUS-n07s01,SPLUS-n07s01,Calibration_iDR5_3_Main,0.004,0.004,0.0033,0.0037666669
SPLUS-n07s02,SPLUS-n07s02,SPLUS-n07s02,SPLUS-n07s02,Calibration_iDR5_3_Main,0.0042,0.0047,0.0027,0.0038666667
SPLUS-n07s03,SPLUS-n07s03,SPLUS-n07s03,SPLUS-n07s03,Calibration_iDR5_3_Main,0.0029,0.0031,4.0E-4,0.0021333334
SPLUS-n07s04,SPLUS-n07s04,SPLUS-n07s04,SPLUS-n07s04,Calibration_iDR5_3_Main,0.0042,0.004,0.0012,0.0031333333
SPLUS-n07s05,SPLUS-n07s05,SPLUS-n07s05,SPLUS-n07s05,Calibration_iDR5_3_Main,0.0087,0.0086,0.0038,0.007033333
SPLUS-n07s06,SPLUS-n07s06,SPLUS-n07s06,SPLUS-n07s06,Calibration_iDR5_3_Main,0.0057,0.0044,-7.0E-4,0.0031333333
SPLUS-n07s07,SPLUS-n07s07,SPLUS-n07s07,SPLUS-n07s07,Calibration_iDR5_3_Main,0.0078,0.0062,0.002,0.0053333337
SPLUS-n07s08,SPLUS-n07s08,SPLUS-n07s08,SPLUS-n07s08,Calibration_iDR5_3_Main,0.0019,0.0018,-0.0018,6.3333334E-4
SPLUS-n07s09,SPLUS-n07s09,SPLUS-n07s09,SPLUS-n07s09,Calibration_iDR5_3_Main,0.0045,0.0042,0.0018,0.0034999999
SPLUS-n07s10,SPLUS-n07s10,SPLUS-n07s10,SPLUS-n07s10,Calibration_iDR5_3_Main,0.0089,0.0076,0.0035,0.0066666664
SPLUS-n07s11,SPLUS-n07s11,SPLUS-n07s11,SPLUS-n07s11,Calibration_iDR5_3_Main,0.0029,0.0019,-2.0E-4,0.0015333333
SPLUS-n07s12,SPLUS-n07s12,SPLUS-n07s12,SPLUS-n07s12,Calibration_iDR5_3_Main,9.0E-4,0.0015,-0.0013,3.666667E-4
SPLUS-n07s13,SPLUS-n07s13,SPLUS-n07s13,SPLUS-n07s13,Calibration_iDR5_3_Main,-7.0E-4,6.0E-4,-0.0019,-6.666666E-4
SPLUS-n07s14,SPLUS-n07s14,SPLUS-n07s14,SPLUS-n07s14,Calibration_iDR5_3_Main,0.0087,0.0075,0.0033,0.0065
SPLUS-n07s22,SPLUS-n07s22,SPLUS-n07s22,SPLUS-n07s22,Calibration_iDR5_3_Main,0.0032,0.0013,0.0012,0.0018999999
SPLUS-n07s38,SPLUS-n07s38,SPLUS-n07s38,SPLUS-n07s38,Calibration_iDR5_3_Main,0.0048,0.0032,0.0028,0.0036000002
SPLUS-n07s39,SPLUS-n07s39,SPLUS-n07s39,SPLUS-n07s39,Calibration_iDR5_3_Main,0.0029,0.0019,0.0023,0.0023666667
SPLUS-n07s40,SPLUS-n07s40,SPLUS-n07s40,SPLUS-n07s40,Calibration_iDR5_3_Main,0.003,0.0021,0.0017,0.0022666666
SPLUS-n07s41,SPLUS-n07s41,SPLUS-n07s41,SPLUS-n07s41,Calibration_iDR5_3_Main,0.0028,0.0032,0.0028,0.0029333334
SPLUS-n07s42,SPLUS-n07s42,SPLUS-n07s42,SPLUS-n07s42,Calibration_iDR5_3_Main,0.0027,0.0029,0.0032,0.0029333334
SPLUS-n07s43,SPLUS-n07s43,SPLUS-n07s43,SPLUS-n07s43,Calibration_iDR5_3_Main,0.0041,0.0035,0.0028,0.0034666667
SPLUS-n07s44,SPLUS-n07s44,SPLUS-n07s44,SPLUS-n07s44,Calibration_iDR5_3_Main,0.0027,0.0025,0.0021,0.0024333333
SPLUS-n07s55,SPLUS-n07s55,SPLUS-n07s55,SPLUS-n07s55,Calibration_iDR5_3_Main,0.0038,0.0028,0.0027,0.0031
SPLUS-n08s01,SPLUS-n08s01,SPLUS-n08s01,SPLUS-n08s01,Calibration_iDR5_3_Main,0.0044,0.0037,0.0018,0.0033
SPLUS-n08s02,SPLUS-n08s02,SPLUS-n08s02,SPLUS-n08s02,Calibration_iDR5_3_Main,0.0051,0.0057,0.0034,0.0047333334
SPLUS-n08s03,SPLUS-n08s03,SPLUS-n08s03,SPLUS-n08s03,Calibration_iDR5_3_Main,0.0012,0.0022,-1.0E-4,0.0011
SPLUS-n08s04,SPLUS-n08s04,SPLUS-n08s04,SPLUS-n08s04,Calibration_iDR5_3_Main,0.006,0.0068,0.0037,0.0055
SPLUS-n08s05,SPLUS-n08s05,SPLUS-n08s05,SPLUS-n08s05,Calibration_iDR5_3_Main,0.0073,0.0064,0.0033,0.005666667
