PID,RA_d,DEC_d,EPOC,NAME
HYDRA,162.579,-32.229,2000,HYDRA-0075
HYDRA,164.242,-32.229,2000,HYDRA-0076
HYDRA,150.421,-33.609,2000,HYDRA-0077
HYDRA,152.113,-33.609,2000,HYDRA-0078
HYDRA,153.804,-33.609,2000,HYDRA-0079
HYDRA,155.492,-33.609,2000,HYDRA-0080
HYDRA,157.183,-33.609,2000,HYDRA-0081
HYDRA,158.875,-33.609,2000,HYDRA-0082
HYDRA,160.563,-33.609,2000,HYDRA-0083
HYDRA,162.254,-33.609,2000,HYDRA-0084
HYDRA,163.942,-33.609,2000,HYDRA-0085
HYDRA,150.858,-34.987,2000,HYDRA-0086
HYDRA,152.571,-34.987,2000,HYDRA-0087
HYDRA,154.288,-34.987,2000,HYDRA-0088
HYDRA,156.000,-34.987,2000,HYDRA-0089
HYDRA,159.429,-34.987,2000,HYDRA-0091
HYDRA,161.142,-34.987,2000,HYDRA-0092
HYDRA,162.858,-34.987,2000,HYDRA-0093
HYDRA,164.571,-34.987,2000,HYDRA-0094
HYDRA,151.304,-36.363,2000,HYDRA-0095
HYDRA,153.042,-36.363,2000,HYDRA-0096
HYDRA,154.783,-36.363,2000,HYDRA-0097
HYDRA,156.521,-36.363,2000,HYDRA-0098
HYDRA,158.263,-36.363,2000,HYDRA-0099
HYDRA,160.000,-36.363,2000,HYDRA-0100
HYDRA,161.738,-36.363,2000,HYDRA-0101
HYDRA,163.479,-36.363,2000,HYDRA-0102
HYDRA,150.738,-37.736,2000,HYDRA-0103
HYDRA,152.513,-37.736,2000,HYDRA-0104
HYDRA,154.288,-37.736,2000,HYDRA-0105
HYDRA,156.058,-37.736,2000,HYDRA-0106
HYDRA,157.833,-37.736,2000,HYDRA-0107
HYDRA,159.604,-37.736,2000,HYDRA-0108
HYDRA,161.379,-37.736,2000,HYDRA-0109
HYDRA,163.154,-37.736,2000,HYDRA-0110
HYDRA,164.925,-37.736,2000,HYDRA-0111
HYDRA,150.150,-39.107,2000,HYDRA-0112
HYDRA,151.958,-39.107,2000,HYDRA-0113
HYDRA,153.771,-39.107,2000,HYDRA-0114
HYDRA,155.579,-39.107,2000,HYDRA-0115
HYDRA,157.388,-39.107,2000,HYDRA-0116
HYDRA,159.196,-39.107,2000,HYDRA-0117
HYDRA,161.004,-39.107,2000,HYDRA-0118
HYDRA,162.813,-39.107,2000,HYDRA-0119
HYDRA,164.625,-39.107,2000,HYDRA-0120
HYDRA,151.383,-40.476,2000,HYDRA-0121
HYDRA,153.229,-40.476,2000,HYDRA-0122
HYDRA,155.075,-40.476,2000,HYDRA-0123
HYDRA,156.925,-40.476,2000,HYDRA-0124
HYDRA,158.771,-40.476,2000,HYDRA-0125
HYDRA,160.617,-40.476,2000,HYDRA-0126
HYDRA,162.463,-40.476,2000,HYDRA-0127
HYDRA,164.308,-40.476,2000,HYDRA-0128
HYDRA,150.783,-41.842,2000,HYDRA-0129
HYDRA,152.671,-41.842,2000,HYDRA-0130
HYDRA,154.554,-41.842,2000,HYDRA-0131
HYDRA,156.442,-41.842,2000,HYDRA-0132
HYDRA,158.325,-41.842,2000,HYDRA-0133
HYDRA,160.208,-41.842,2000,HYDRA-0134
HYDRA,162.096,-41.842,2000,HYDRA-0135
HYDRA,163.979,-41.842,2000,HYDRA-0136
HYDRA,150.163,-43.206,2000,HYDRA-0137
HYDRA,152.088,-43.206,2000,HYDRA-0138
HYDRA,154.013,-43.206,2000,HYDRA-0139
HYDRA,155.938,-43.206,2000,HYDRA-0140
HYDRA,157.863,-43.206,2000,HYDRA-0141
HYDRA,159.788,-43.206,2000,HYDRA-0142
HYDRA,161.713,-43.206,2000,HYDRA-0143
HYDRA,163.638,-43.206,2000,HYDRA-0144
HYDRA,151.475,-44.567,2000,HYDRA-0145
HYDRA,153.442,-44.567,2000,HYDRA-0146
HYDRA,155.408,-44.567,2000,HYDRA-0147
HYDRA,157.375,-44.567,2000,HYDRA-0148
HYDRA,159.346,-44.567,2000,HYDRA-0149
HYDRA,161.313,-44.567,2000,HYDRA-0150
HYDRA,163.279,-44.567,2000,HYDRA-0151
HYDRA,150.838,-45.925,2000,HYDRA-0152
HYDRA,152.850,-45.925,2000,HYDRA-0153
HYDRA,154.858,-45.925,2000,HYDRA-0154
HYDRA,156.871,-45.925,2000,HYDRA-0155
HYDRA,158.883,-45.925,2000,HYDRA-0156
HYDRA,160.896,-45.925,2000,HYDRA-0157
HYDRA,162.904,-45.925,2000,HYDRA-0158
HYDRA,164.917,-45.925,2000,HYDRA-0159
HYDRA,150.171,-47.281,2000,HYDRA-0160
