PID,NAME,RA_d,DEC_d,EPOC
SPLUS,SPLUS-n06s42,205.908333333,-6.7825,2000
SPLUS,SPLUS-n06s43,207.27083333299998,-6.7825,2000
SPLUS,SPLUS-n06s44,208.6375,-6.7825,2000
SPLUS,SPLUS-n06s45,210.0,-6.7825,2000
SPLUS,SPLUS-n07s01,150.570833333,-8.135,2000
SPLUS,SPLUS-n07s02,151.9375,-8.135,2000
SPLUS,SPLUS-n07s03,153.30833333299998,-8.135,2000
SPLUS,SPLUS-n07s38,201.216666667,-8.135,2000
SPLUS,SPLUS-n07s39,202.5875,-8.135,2000
SPLUS,SPLUS-n07s40,203.954166667,-8.135,2000
SPLUS,SPLUS-n07s41,205.325,-8.135,2000
SPLUS,SPLUS-n07s42,206.69166666700002,-8.135,2000
SPLUS,SPLUS-n07s43,208.0625,-8.135,2000
SPLUS,SPLUS-n07s44,209.429166667,-8.135,2000
SPLUS,SPLUS-n08s01,151.14583333299998,-9.48611111111,2000
SPLUS,SPLUS-n08s02,152.52083333299998,-9.48611111111,2000
SPLUS,SPLUS-n08s03,153.891666667,-9.48611111111,2000
SPLUS,SPLUS-n08s37,200.6125,-9.48611111111,2000
SPLUS,SPLUS-n08s38,201.983333333,-9.48611111111,2000
SPLUS,SPLUS-n08s39,203.358333333,-9.48611111111,2000
SPLUS,SPLUS-n08s40,204.733333333,-9.48611111111,2000
SPLUS,SPLUS-n08s41,206.108333333,-9.48611111111,2000
SPLUS,SPLUS-n08s42,207.47916666700002,-9.48611111111,2000
SPLUS,SPLUS-n09s01,150.345833333,-10.8355555556,2000
SPLUS,SPLUS-n09s36,198.62083333299998,-10.8355555556,2000
SPLUS,SPLUS-n09s37,200.0,-10.8355555556,2000
SPLUS,SPLUS-n09s38,201.37916666700002,-10.8355555556,2000
SPLUS,SPLUS-n09s39,202.758333333,-10.8355555556,2000
SPLUS,SPLUS-n09s40,204.1375,-10.8355555556,2000
SPLUS,SPLUS-n09s41,205.516666667,-10.8355555556,2000
SPLUS,SPLUS-n09s42,206.89583333299998,-10.8355555556,2000
SPLUS,SPLUS-n09s43,208.275,-10.8355555556,2000
SPLUS,SPLUS-n09s44,209.654166667,-10.8355555556,2000
SPLUS,SPLUS-n10s01,150.925,-12.1836111111,2000
SPLUS,SPLUS-n10s17,173.075,-12.1836111111,2000
SPLUS,SPLUS-n10s34,196.616666667,-12.1836111111,2000
SPLUS,SPLUS-n10s35,198.0,-12.1836111111,2000
SPLUS,SPLUS-n10s36,199.383333333,-12.1836111111,2000
SPLUS,SPLUS-n10s37,200.77083333299998,-12.1836111111,2000
SPLUS,SPLUS-n10s38,202.154166667,-12.1836111111,2000
SPLUS,SPLUS-n10s39,203.5375,-12.1836111111,2000
SPLUS,SPLUS-n10s40,204.925,-12.1836111111,2000
SPLUS,SPLUS-n10s41,206.30833333299998,-12.1836111111,2000
SPLUS,SPLUS-n10s42,207.69166666700002,-12.1836111111,2000
SPLUS,SPLUS-n10s43,209.075,-12.1836111111,2000
SPLUS,SPLUS-n11s01,150.116666667,-13.5305555556,2000
SPLUS,SPLUS-n11s02,151.50416666700002,-13.5305555556,2000
SPLUS,SPLUS-n11s03,152.89583333299998,-13.5305555556,2000
SPLUS,SPLUS-n11s26,184.866666667,-13.5305555556,2000
SPLUS,SPLUS-n11s28,187.64583333299998,-13.5305555556,2000
SPLUS,SPLUS-n11s29,189.033333333,-13.5305555556,2000
SPLUS,SPLUS-n11s30,190.425,-13.5305555556,2000
SPLUS,SPLUS-n11s33,194.595833333,-13.5305555556,2000
SPLUS,SPLUS-n11s34,195.983333333,-13.5305555556,2000
