PID,NAME,RA_d,DEC_d
MC,MC0041,85.3611,-68.4322
MC,MC0042,89.0725,-68.4322
MC,MC0043,92.7839,-68.4322
MC,MC0044,96.4952,-68.4322
MC,MC0045,3.9564,-69.7056
MC,MC0046,7.9125,-69.7055
MC,MC0047,11.8685,-69.7055
MC,MC0048,15.8245,-69.7055
MC,MC0049,19.7806,-69.7055
MC,MC0050,23.7366,-69.7055
MC,MC0051,27.6927,-69.7056
MC,MC0052,31.6487,-69.7055
MC,MC0053,35.6048,-69.7055
MC,MC0054,39.5609,-69.7055
MC,MC0055,43.5168,-69.7055
MC,MC0056,47.4729,-69.7055
MC,MC0057,51.4289,-69.7055
MC,MC0058,55.3850,-69.7055
MC,MC0059,59.3411,-69.7055
MC,MC0060,63.2973,-69.7061
MC,MC0061,67.2535,-69.7061
MC,MC0062,71.2092,-69.7055
MC,MC0063,75.1652,-69.7055
MC,MC0064,79.1212,-69.7055
MC,MC0065,83.0773,-69.7055
MC,MC0066,87.0334,-69.7055
MC,MC0067,90.9894,-69.7055
MC,MC0068,94.9454,-69.7055
MC,MC0069,4.1864,-70.9672
MC,MC0070,8.3724,-70.9672
MC,MC0071,12.5585,-70.9672
MC,MC0072,16.7445,-70.9672
MC,MC0073,20.9306,-70.9672
MC,MC0074,25.1166,-70.9672
MC,MC0075,29.3027,-70.9672
MC,MC0076,33.4888,-70.9672
MC,MC0077,37.6748,-70.9672
MC,MC0078,41.8608,-70.9672
MC,MC0079,46.0469,-70.9672
MC,MC0080,50.2329,-70.9672
MC,MC0081,54.4190,-70.9672
MC,MC0082,58.6050,-70.9672
MC,MC0083,62.7914,-70.9678
MC,MC0084,66.9772,-70.9672
MC,MC0085,71.1634,-70.9678
MC,MC0086,75.3495,-70.9678
MC,MC0087,79.5352,-70.9672
MC,MC0088,83.7213,-70.9672
MC,MC0089,87.9073,-70.9672
MC,MC0090,92.0934,-70.9672
MC,MC0091,96.2794,-70.9672
MC,MC0092,4.4449,-72.2196
MC,MC0093,8.8892,-72.2196
MC,MC0094,13.3337,-72.2196
MC,MC0095,17.7781,-72.2196
MC,MC0096,22.2226,-72.2196
MC,MC0097,26.6670,-72.2196
MC,MC0098,31.1115,-72.2196
MC,MC0099,35.5559,-72.2196
MC,MC0100,40.0004,-72.2196
MC,MC0101,44.4449,-72.2196
MC,MC0102,48.8893,-72.2196
MC,MC0103,53.3337,-72.2196
MC,MC0104,57.7781,-72.2196
MC,MC0105,62.2226,-72.2196
MC,MC0106,66.6670,-72.2196
MC,MC0107,71.1115,-72.2196
MC,MC0108,75.5559,-72.2196
MC,MC0109,80.0003,-72.2196
MC,MC0110,84.4448,-72.2196
MC,MC0111,88.8892,-72.2196
MC,MC0112,93.3337,-72.2196
MC,MC0113,4.7372,-73.4617
MC,MC0114,9.4741,-73.4617
MC,MC0115,14.2109,-73.4617
MC,MC0116,18.9477,-73.4617
MC,MC0117,23.6846,-73.4617
MC,MC0118,28.4215,-73.4617
MC,MC0119,33.1582,-73.4617
MC,MC0120,37.8951,-73.4617
MC,MC0121,42.6319,-73.4617
MC,MC0122,47.3688,-73.4617
MC,MC0123,52.1056,-73.4617
MC,MC0124,56.8425,-73.4617
MC,MC0125,61.5793,-73.4617
MC,MC0126,66.3162,-73.4617
MC,MC0127,71.0530,-73.4617
MC,MC0128,75.7899,-73.4617
MC,MC0129,80.5266,-73.4617
MC,MC0130,85.2639,-73.4622
MC,MC0131,90.0004,-73.4617
MC,MC0132,94.7372,-73.4617
MC,MC0133,5.1432,-74.6925
MC,MC0134,10.2860,-74.6925
MC,MC0135,15.4289,-74.6925
MC,MC0136,20.5718,-74.6925
MC,MC0137,25.7146,-74.6925
MC,MC0138,30.8575,-74.6925
MC,MC0139,36.0003,-74.6925
MC,MC0140,41.1432,-74.6925
MC,MC0141,46.2861,-74.6925
MC,MC0142,51.4290,-74.6925
MC,MC0143,56.5717,-74.6925
MC,MC0144,61.7147,-74.6925
MC,MC0145,66.8575,-74.6925
MC,MC0146,72.0003,-74.6925
MC,MC0147,77.1432,-74.6925
MC,MC0148,82.2861,-74.6925
MC,MC0149,87.4289,-74.6925
MC,MC0150,92.5718,-74.6925
SPLUS-b,SPLUS-b002,267.0004,-19.7241
SPLUS-b,SPLUS-b003,268.5004,-19.7241
SPLUS-b,SPLUS-b004,270.0004,-19.7241
SPLUS-b,SPLUS-b009,272.2693,-21.1207
SPLUS-b,SPLUS-b010,265.4241,-22.5155
SPLUS-b,SPLUS-b012,268.4750,-22.5155
SPLUS-b,SPLUS-b015,273.0512,-22.5155
SPLUS-b,SPLUS-b016,274.5766,-22.5155
SPLUS-b,SPLUS-b017,276.1020,-22.5155
SPLUS-b,SPLUS-b018,264.6157,-23.9087
SPLUS-b,SPLUS-b019,266.1542,-23.9087
SPLUS-b,SPLUS-b021,269.2312,-23.9087
SPLUS-b,SPLUS-b025,275.3850,-23.9087
SPLUS-b,SPLUS-b027,278.4619,-23.9087
SPLUS-b,SPLUS-b028,263.3770,-25.3002
SPLUS-b,SPLUS-b029,264.9355,-25.3002
SPLUS-b,SPLUS-b030,266.4939,-25.3002
SPLUS-b,SPLUS-b032,269.6107,-25.3002
SPLUS-b,SPLUS-b033,271.1692,-25.3002
SPLUS-b,SPLUS-b034,272.7277,-25.3002
SPLUS-b,SPLUS-b038,278.9614,-25.3002
SPLUS-b,SPLUS-b039,280.5198,-25.3002
SPLUS-b,SPLUS-b040,282.0783,-25.3002
SPLUS-b,SPLUS-b041,262.1056,-26.6897
SPLUS-b,SPLUS-b042,263.6845,-26.6897
SPLUS-b,SPLUS-b043,265.2635,-26.6897
SPLUS-b,SPLUS-b044,266.8425,-26.6897
SPLUS-b,SPLUS-b045,268.4215,-26.6897
SPLUS-b,SPLUS-b046,270.0003,-26.6897
SPLUS-b,SPLUS-b047,271.5793,-26.6897
SPLUS-b,SPLUS-b050,276.3161,-26.6897
SPLUS-b,SPLUS-b051,277.8951,-26.6897
SPLUS-b,SPLUS-b054,282.6320,-26.6897
SPLUS-b,SPLUS-b056,285.7898,-26.6897
SPLUS-b,SPLUS-b057,261.2393,-28.0773
SPLUS-b,SPLUS-b058,262.8322,-28.0773
SPLUS-b,SPLUS-b059,264.4251,-28.0773
SPLUS-b,SPLUS-b060,266.0180,-28.0773
SPLUS-b,SPLUS-b061,267.6110,-28.0773
SPLUS-b,SPLUS-b062,269.2039,-28.0773
SPLUS-b,SPLUS-b063,270.7968,-28.0773
SPLUS-b,SPLUS-b064,272.3898,-28.0772
SPLUS-b,SPLUS-b065,273.9827,-28.0773
SPLUS-b,SPLUS-b066,275.5756,-28.0773
SPLUS-b,SPLUS-b067,277.1685,-28.0773
SPLUS-b,SPLUS-b068,278.7614,-28.0773
SPLUS-b,SPLUS-b069,280.3543,-28.0773
SPLUS-b,SPLUS-b070,281.9472,-28.0773
SPLUS-b,SPLUS-b071,283.5402,-28.0773
SPLUS-b,SPLUS-b072,285.1331,-28.0773
SPLUS-b,SPLUS-b073,259.9107,-29.4632
SPLUS-b,SPLUS-b074,261.5251,-29.4632
SPLUS-b,SPLUS-b075,263.1393,-29.4632
SPLUS-b,SPLUS-b076,264.7537,-29.4632
SPLUS-b,SPLUS-b077,266.3680,-29.4632
SPLUS-b,SPLUS-b078,267.9825,-29.4632
SPLUS-b,SPLUS-b079,269.5968,-29.4632
SPLUS-b,SPLUS-b084,277.6686,-29.4632
SPLUS-b,SPLUS-b085,279.2829,-29.4632
SPLUS-b,SPLUS-b086,280.8973,-29.4632
SPLUS-b,SPLUS-b087,282.5116,-29.4632
SPLUS-b,SPLUS-b088,284.1259,-29.4632
SPLUS-b,SPLUS-b089,258.5458,-30.8471
SPLUS-b,SPLUS-b090,260.1822,-30.8471
SPLUS-b,SPLUS-b091,261.8185,-30.8471
SPLUS-b,SPLUS-b092,263.4549,-30.8471
SPLUS-b,SPLUS-b093,265.0912,-30.8471
SPLUS-b,SPLUS-b094,266.7276,-30.8471
SPLUS-b,SPLUS-b095,268.3641,-30.8471
SPLUS-b,SPLUS-b096,270.0004,-30.8471
SPLUS-b,SPLUS-b098,273.2731,-30.8471
SPLUS-b,SPLUS-b100,276.5459,-30.8471
SPLUS-b,SPLUS-b101,278.1822,-30.8471
SPLUS-b,SPLUS-b102,279.8186,-30.8471
SPLUS-b,SPLUS-b103,281.4549,-30.8471
SPLUS-b,SPLUS-b104,283.0913,-30.8471
SPLUS-b,SPLUS-b105,284.7276,-30.8471
SPLUS-b,SPLUS-b106,257.1432,-32.2291
SPLUS-b,SPLUS-b107,258.8022,-32.2294
SPLUS-b,SPLUS-b108,260.4612,-32.2291
SPLUS-b,SPLUS-b109,262.1201,-32.2291
SPLUS-b,SPLUS-b110,263.7792,-32.2291
SPLUS-b,SPLUS-b111,265.4382,-32.2291
SPLUS-b,SPLUS-b112,267.0971,-32.2291
SPLUS-b,SPLUS-b114,270.4151,-32.2291
SPLUS-b,SPLUS-b115,272.0741,-32.2291
SPLUS-b,SPLUS-b116,273.7331,-32.2291
SPLUS-b,SPLUS-b117,275.3921,-32.2291
SPLUS-b,SPLUS-b118,277.0510,-32.2291
SPLUS-b,SPLUS-b119,278.7101,-32.2291
SPLUS-b,SPLUS-b120,280.3690,-32.2291
SPLUS-b,SPLUS-b121,282.0281,-32.2291
SPLUS-b,SPLUS-b122,283.6870,-32.2291
SPLUS-b,SPLUS-b123,256.9017,-33.6091
SPLUS-b,SPLUS-b124,258.5920,-33.6091
SPLUS-b,SPLUS-b125,260.2821,-33.6091
SPLUS-b,SPLUS-b126,261.9722,-33.6091
SPLUS-b,SPLUS-b127,263.6623,-33.6091
SPLUS-b,SPLUS-b128,265.3525,-33.6091
SPLUS-b,SPLUS-b129,267.0426,-33.6091
SPLUS-b,SPLUS-b133,273.8032,-33.6091
SPLUS-b,SPLUS-b135,277.1835,-33.6091
SPLUS-b,SPLUS-b136,278.8736,-33.6090
SPLUS-b,SPLUS-b137,280.5638,-33.6091
SPLUS-b,SPLUS-b138,282.2539,-33.6091
SPLUS-b,SPLUS-b140,258.8575,-34.9868
SPLUS-b,SPLUS-b141,260.5718,-34.9868
SPLUS-b,SPLUS-b142,262.2861,-34.9868
SPLUS-b,SPLUS-b143,264.0004,-34.9868
SPLUS-b,SPLUS-b144,265.7147,-34.9868
SPLUS-b,SPLUS-b145,267.4289,-34.9867
SPLUS-b,SPLUS-b146,269.1432,-34.9868
SPLUS-b,SPLUS-b147,270.8575,-34.9868
SPLUS-b,SPLUS-b151,277.7147,-34.9868
SPLUS-b,SPLUS-b152,279.4289,-34.9868
SPLUS-b,SPLUS-b153,281.1433,-34.9868
SPLUS-b,SPLUS-b154,259.1308,-36.3624
SPLUS-b,SPLUS-b155,260.8700,-36.3624
SPLUS-b,SPLUS-b160,269.5656,-36.3624
SPLUS-b,SPLUS-b164,276.5221,-36.3624
SPLUS-b,SPLUS-b165,278.2612,-36.3624
SPLUS-b,SPLUS-b166,280.0003,-36.3624
SPLUS-b,SPLUS-b167,281.7395,-36.3624
SPLUS-b,SPLUS-b168,260.6900,-37.7361
SPLUS-b,SPLUS-b171,266.0102,-37.7361
SPLUS-b,SPLUS-b173,269.5570,-37.7361
SPLUS-b,SPLUS-b175,273.1038,-37.7361
SPLUS-b,SPLUS-b176,274.8772,-37.7361
SPLUS-b,SPLUS-b177,276.6507,-37.7361
SPLUS-b,SPLUS-b178,278.4240,-37.7361
SPLUS-b,SPLUS-b179,280.1974,-37.7361
SPLUS-b,SPLUS-b180,264.1210,-39.1073
SPLUS-b,SPLUS-b182,267.7391,-39.1073
SPLUS-b,SPLUS-b183,269.5481,-39.1075
SPLUS-b,SPLUS-b185,273.1662,-39.1074
SPLUS-b,SPLUS-b186,274.9752,-39.1074
SPLUS-b,SPLUS-b187,276.7843,-39.1073
SPLUS-b,SPLUS-b188,278.5933,-39.1073
SPLUS-b,SPLUS-b189,280.4023,-39.1074
SPLUS-b,SPLUS-b191,269.5388,-40.4761
SPLUS-b,SPLUS-b192,271.3850,-40.4761
SPLUS-b,SPLUS-b193,273.2312,-40.4761
SPLUS-b,SPLUS-b194,275.0772,-40.4761
SPLUS-b,SPLUS-b195,276.9235,-40.4761
SPLUS-b,SPLUS-b196,278.7696,-40.4761
SPLUS-b,SPLUS-b198,271.4140,-41.8423
SPLUS-b,SPLUS-b199,273.2988,-41.8423
SPLUS-b,SPLUS-b200,275.1836,-41.8423
SPLUS-b,SPLUS-b201,277.0684,-41.8423
SPLUS-b,SPLUS-b202,273.3693,-43.2059
SPLUS-b,SPLUS-b203,275.2945,-43.2059
SPLUS-b,SPLUS-b204,277.2196,-43.2059
SPLUS-d,SPLUS-d002,108.1427,-5.6674
SPLUS-d,SPLUS-d005,105.7147,-7.0803
SPLUS-d,SPLUS-d011,104.2861,-8.4915
SPLUS-d,SPLUS-d012,105.7147,-8.4915
SPLUS-d,SPLUS-d013,107.1432,-8.4915
SPLUS-d,SPLUS-d020,101.8330,-9.9013
SPLUS-d,SPLUS-d022,104.7016,-9.9013
SPLUS-d,SPLUS-d023,106.1359,-9.9013
SPLUS-d,SPLUS-d024,107.5701,-9.9013
SPLUS-d,SPLUS-d025,109.0043,-9.9013
SPLUS-d,SPLUS-d028,113.3071,-9.9013
SPLUS-d,SPLUS-d029,96.4804,-11.3094
SPLUS-d,SPLUS-d030,97.9204,-11.3095
SPLUS-d,SPLUS-d033,102.2403,-11.3094
SPLUS-d,SPLUS-d034,103.6804,-11.3094
SPLUS-d,SPLUS-d035,105.1204,-11.3095
SPLUS-d,SPLUS-d036,106.5604,-11.3094
SPLUS-d,SPLUS-d037,108.0004,-11.3094
SPLUS-d,SPLUS-d038,109.4404,-11.3094
SPLUS-d,SPLUS-d040,112.3204,-11.3094
SPLUS-d,SPLUS-d042,94.3552,-12.7160
SPLUS-d,SPLUS-d043,95.8069,-12.7160
SPLUS-d,SPLUS-d044,97.2585,-12.7160
SPLUS-d,SPLUS-d045,98.7100,-12.7160
SPLUS-d,SPLUS-d046,100.1616,-12.7160
SPLUS-d,SPLUS-d049,104.5164,-12.7160
SPLUS-d,SPLUS-d050,105.9681,-12.7160
SPLUS-d,SPLUS-d051,107.4197,-12.7160
SPLUS-d,SPLUS-d052,108.8714,-12.7160
SPLUS-d,SPLUS-d053,110.3229,-12.7160
SPLUS-d,SPLUS-d056,114.6778,-12.7160
SPLUS-d,SPLUS-d057,93.2800,-14.1214
SPLUS-d,SPLUS-d058,94.7372,-14.1214
SPLUS-d,SPLUS-d059,96.1947,-14.1209
SPLUS-d,SPLUS-d060,97.6522,-14.1209
SPLUS-d,SPLUS-d061,99.1097,-14.1209
SPLUS-d,SPLUS-d062,100.5671,-14.1209
SPLUS-d,SPLUS-d065,104.9396,-14.1208
SPLUS-d,SPLUS-d066,106.3972,-14.1209
SPLUS-d,SPLUS-d068,109.3121,-14.1209
SPLUS-d,SPLUS-d071,113.6846,-14.1208
SPLUS-d,SPLUS-d072,115.1421,-14.1208
SPLUS-d,SPLUS-d073,95.1223,-15.5241
SPLUS-d,SPLUS-d074,96.5858,-15.5241
SPLUS-d,SPLUS-d075,98.0491,-15.5241
SPLUS-d,SPLUS-d076,99.5126,-15.5241
SPLUS-d,SPLUS-d078,102.4394,-15.5241
SPLUS-d,SPLUS-d081,106.8296,-15.5241
SPLUS-d,SPLUS-d083,109.7565,-15.5241
SPLUS-d,SPLUS-d084,111.2199,-15.5241
SPLUS-d,SPLUS-d085,112.6833,-15.5241
SPLUS-d,SPLUS-d086,114.1467,-15.5241
SPLUS-d,SPLUS-d087,115.6101,-15.5241
SPLUS-d,SPLUS-d088,94.4269,-16.9264
SPLUS-d,SPLUS-d090,97.3775,-16.9258
SPLUS-d,SPLUS-d091,98.8528,-16.9258
SPLUS-d,SPLUS-d094,103.2791,-16.9258
SPLUS-d,SPLUS-d097,107.7053,-16.9258
SPLUS-d,SPLUS-d098,109.1808,-16.9258
SPLUS-d,SPLUS-d099,110.6561,-16.9258
SPLUS-d,SPLUS-d102,115.0824,-16.9258
SPLUS-d,SPLUS-d106,98.1822,-18.3258
SPLUS-d,SPLUS-d107,99.6697,-18.3258
SPLUS-d,SPLUS-d108,101.1574,-18.3258
SPLUS-d,SPLUS-d109,102.6450,-18.3258
SPLUS-d,SPLUS-d112,107.1079,-18.3258
SPLUS-d,SPLUS-d114,110.0830,-18.3258
SPLUS-d,SPLUS-d115,111.5706,-18.3258
SPLUS-d,SPLUS-d117,114.5458,-18.3258
SPLUS-d,SPLUS-d120,96.0004,-19.7241
SPLUS-d,SPLUS-d121,97.5007,-19.7247
SPLUS-d,SPLUS-d123,100.5004,-19.7241
SPLUS-d,SPLUS-d124,102.0004,-19.7241
SPLUS-d,SPLUS-d125,103.5004,-19.7241
SPLUS-d,SPLUS-d126,105.0003,-19.7241
SPLUS-d,SPLUS-d127,106.5004,-19.7241
SPLUS-d,SPLUS-d128,108.0003,-19.7241
SPLUS-d,SPLUS-d130,111.0003,-19.7241
SPLUS-d,SPLUS-d131,112.5003,-19.7241
SPLUS-d,SPLUS-d133,115.5004,-19.7241
SPLUS-d,SPLUS-d137,98.3200,-21.1212
SPLUS-d,SPLUS-d138,99.8323,-21.1207
SPLUS-d,SPLUS-d139,101.3449,-21.1207
SPLUS-d,SPLUS-d140,102.8575,-21.1207
SPLUS-d,SPLUS-d141,104.3701,-21.1207
SPLUS-d,SPLUS-d142,105.8827,-21.1207
SPLUS-d,SPLUS-d143,107.3953,-21.1207
SPLUS-d,SPLUS-d145,110.4206,-21.1207
SPLUS-d,SPLUS-d146,111.9332,-21.1207
SPLUS-d,SPLUS-d147,113.4457,-21.1207
SPLUS-d,SPLUS-d149,116.4710,-21.1207
SPLUS-d,SPLUS-d150,117.9836,-21.1207
SPLUS-d,SPLUS-d152,97.6275,-22.5155
SPLUS-d,SPLUS-d153,99.1532,-22.5161
SPLUS-d,SPLUS-d154,100.6784,-22.5155
SPLUS-d,SPLUS-d155,102.2038,-22.5156
SPLUS-d,SPLUS-d156,103.7292,-22.5155
SPLUS-d,SPLUS-d157,105.2546,-22.5156
SPLUS-d,SPLUS-d158,106.7800,-22.5154
SPLUS-d,SPLUS-d159,108.3054,-22.5155
SPLUS-d,SPLUS-d160,109.8309,-22.5155
SPLUS-d,SPLUS-d161,111.3563,-22.5155
SPLUS-d,SPLUS-d164,115.9325,-22.5155
SPLUS-d,SPLUS-d165,117.4580,-22.5155
