PID,NAME,RA,DEC,RA_d,DEC_d,Removed
STRIPE82,STRIPE82_0101,20:41:34,-0:42:00,310.3916667,-0.7,0
STRIPE82,STRIPE82_0102,20:41:34,+00:42:00,310.3916667,0.7,0
STRIPE82,STRIPE82_0103,20:47:15,-0:42:00,311.8125,-0.7,0
STRIPE82,STRIPE82_0104,20:47:15,+00:42:00,311.8125,0.7,0
STRIPE82,STRIPE82_0105,20:52:55,-0:42:00,313.2291667,-0.7,0
STRIPE82,STRIPE82_0106,20:52:55,+00:42:00,313.2291667,0.7,0
STRIPE82,STRIPE82_0107,20:58:35,-0:42:00,314.6458333,-0.7,0
STRIPE82,STRIPE82_0108,20:58:35,+00:42:00,314.6458333,0.7,0
STRIPE82,STRIPE82_0109,21:04:15,-0:42:00,316.0625,-0.7,0
STRIPE82,STRIPE82_0110,21:04:15,+00:42:00,316.0625,0.7,0
STRIPE82,STRIPE82_0111,21:09:55,-0:42:00,317.4791667,-0.7,0
STRIPE82,STRIPE82_0112,21:09:55,+00:42:00,317.4791667,0.7,0
STRIPE82,STRIPE82_0113,21:15:35,-0:42:00,318.8958333,-0.7,0
STRIPE82,STRIPE82_0114,21:15:35,+00:42:00,318.8958333,0.7,0
STRIPE82,STRIPE82_0115,21:21:16,-0:42:00,320.3166667,-0.7,0
STRIPE82,STRIPE82_0116,21:21:16,+00:42:00,320.3166667,0.7,0
STRIPE82,STRIPE82_0117,21:26:56,-0:42:00,321.7333333,-0.7,0
STRIPE82,STRIPE82_0118,21:26:56,+00:42:00,321.7333333,0.7,0
STRIPE82,STRIPE82_0119,21:32:36,-0:42:00,323.15,-0.7,0
STRIPE82,STRIPE82_0120,21:32:36,+00:42:00,323.15,0.7,0
STRIPE82,STRIPE82_0121,21:38:16,-0:42:00,324.5666667,-0.7,0
STRIPE82,STRIPE82_0122,21:38:16,+00:42:00,324.5666667,0.7,0
STRIPE82,STRIPE82_0123,21:43:56,-0:42:00,325.9833333,-0.7,0
STRIPE82,STRIPE82_0124,21:43:56,+00:42:00,325.9833333,0.7,0
STRIPE82,STRIPE82_0125,21:49:36,-0:42:00,327.4,-0.7,0
STRIPE82,STRIPE82_0126,21:49:36,+00:42:00,327.4,0.7,0
STRIPE82,STRIPE82_0127,21:55:17,-0:42:00,328.8208333,-0.7,0
STRIPE82,STRIPE82_0128,21:55:17,+00:42:00,328.8208333,0.7,0
STRIPE82,STRIPE82_0129,22:00:57,-0:42:00,330.2375,-0.7,0
STRIPE82,STRIPE82_0130,22:00:57,+00:42:00,330.2375,0.7,0
STRIPE82,STRIPE82_0131,22:06:37,-0:42:00,331.6541667,-0.7,0
STRIPE82,STRIPE82_0132,22:06:37,+00:42:00,331.6541667,0.7,0
STRIPE82,STRIPE82_0133,22:12:17,-0:42:00,333.0708333,-0.7,0
STRIPE82,STRIPE82_0134,22:12:17,+00:42:00,333.0708333,0.7,0
STRIPE82,STRIPE82_0135,22:17:57,-0:42:00,334.4875,-0.7,0
STRIPE82,STRIPE82_0136,22:17:57,+00:42:00,334.4875,0.7,0
STRIPE82,STRIPE82_0137,22:23:37,-0:42:00,335.9041667,-0.7,0
STRIPE82,STRIPE82_0138,22:23:37,+00:42:00,335.9041667,0.7,0
STRIPE82,STRIPE82_0139,22:29:17,-0:42:00,337.3208333,-0.7,0
STRIPE82,STRIPE82_0140,22:29:17,+00:42:00,337.3208333,0.7,0
