RAJ2000,DEJ2000,cst,type
4.367791388888889,21.6947613,AND,I
3.7399213888888885,21.6951923,AND,O
3.740644444444444,22.6951923,AND,O
2.7355919444444443,22.6957092,AND,I
2.6100163888888885,22.6957588,AND,O
2.610469444444444,23.6957569,AND,I
2.610926944444444,24.6957588,AND,I
2.6113936111111107,25.6957588,AND,I
2.6118675,26.6957569,AND,I
2.612350555555555,27.6957588,AND,I
2.6128424999999997,28.6957588,AND,O
1.6062163888888887,28.6960354,AND,O
1.6064399999999999,29.6960354,AND,I
1.6066663888888886,30.6960354,AND,I
1.6068988888888887,31.6960335,AND,I
1.6069769444444442,32.0293655,AND,O
1.6069769444444442,32.0293655,AND,I
1.6069874999999998,32.0293655,AND,I
0.5994119444444443,32.0294266,AND,I
359.59196111111106,32.0292778,AND,I
358.5843944444444,32.0289154,AND,I
357.82874111111107,32.0285034,AND,O
357.82808249999994,32.7785072,AND,O
356.82031638888884,32.777771,AND,I
355.8126930555555,32.7768211,AND,I
354.80495388888886,32.7756577,AND,I
354.0491580555555,32.7746468,AND,O
354.0471269444444,33.7746429,AND,I
354.04506749999996,34.7746429,AND,I
354.0441794444444,35.1913109,AND,O
146.67507611111108,-24.5768433,ANT,I
145.67067138888888,-24.5699406,ANT,I
144.66617999999997,-24.5628624,ANT,I
143.66174694444442,-24.5556126,ANT,I
142.6575286111111,-24.5481949,ANT,I
141.90433499999997,-24.5425186,ANT,O
141.89507999999998,-25.5424843,ANT,I
141.88566749999998,-26.542448,ANT,I
141.87609611111108,-27.5424118,ANT,I
141.86633999999998,-28.5423756,ANT,I
141.85639805555553,-29.5423374,ANT,I
141.84625638888886,-30.5422993,ANT,I
141.83591388888888,-31.5422573,ANT,I
141.82534194444443,-32.5422173,ANT,I
141.81452694444442,-33.5421791,ANT,I
141.80346888888886,-34.5421333,ANT,I
141.79213944444442,-35.5420914,ANT,I
141.78052499999998,-36.5420494,ANT,I
141.7715986111111,-37.2920151,ANT,O
141.75943805555553,-38.2919693,ANT,I
141.74693555555552,-39.2919197,ANT,I
141.7340611111111,-40.2918739,ANT,O
142.7419425,-40.2994461,ANT,I
143.75009555555553,-40.3068504,ANT,I
144.75834888888886,-40.3140831,ANT,I
145.76655888888888,-40.3211441,ANT,I
146.77502694444442,-40.3280334,ANT,I
147.78360888888886,-40.3347435,ANT,I
148.79213388888886,-40.3412704,ANT,I
149.80091555555555,-40.3476181,ANT,I
150.80978388888886,-40.3537865,ANT,I
151.81859555555553,-40.3597641,ANT,I
152.8276486111111,-40.3655586,ANT,I
153.8367886111111,-40.3711624,ANT,I
154.84585805555554,-40.3765755,ANT,I
155.85516888888887,-40.381794,ANT,I
156.86455194444443,-40.3868217,ANT,I
157.87384944444443,-40.3916512,ANT,I
158.88339,-40.396286,ANT,I
159.89298749999998,-40.4007225,ANT,I
160.90249944444443,-40.4049568,ANT,I
161.91225611111108,-40.4089928,ANT,I
162.92203944444444,-40.4128227,ANT,I
163.93173749999997,-40.4164505,ANT,I
164.941635,-40.4198723,ANT,I
165.9515911111111,-40.4230919,ANT,I
166.45650444444442,-40.4246216,ANT,O
166.4615686111111,-39.4246292,ANT,I
166.46650361111108,-38.4246368,ANT,I
166.4712811111111,-37.4246445,ANT,I
166.47594444444442,-36.4246483,ANT,I
166.47936305555552,-35.6746559,ANT,O
165.47096694444443,-35.6715469,ANT,I
164.46275694444444,-35.668232,ANT,I
163.95851555555552,-35.6664963,ANT,O
163.96373694444443,-34.6665039,ANT,I
163.96884444444441,-33.6665154,ANT,I
163.97382305555553,-32.666523,ANT,I
163.977885,-31.8332005,ANT,O
162.97086305555553,-31.8295822,ANT,I
161.96373888888886,-31.8257599,ANT,I
160.95663,-31.8217373,ANT,I
160.2013786111111,-31.8185863,ANT,O
160.20719999999997,-30.8186016,ANT,I
160.21289388888886,-29.8186131,ANT,O
159.2065711111111,-29.8142414,ANT,I
158.20014888888886,-29.8096714,ANT,I
157.19377055555555,-29.804903,ANT,I
156.18759138888888,-29.799942,ANT,I
155.18132694444444,-29.7947845,ANT,O
155.18819388888886,-28.7948036,ANT,I
155.19491694444443,-27.7948189,ANT,I
155.19933749999998,-27.1281624,ANT,O
154.19377361111108,-27.1228161,ANT,I
153.18841055555555,-27.117281,ANT,I
152.18294555555553,-27.1115551,ANT,I
151.17752555555555,-27.1056423,ANT,I
150.1723336111111,-27.0995464,ANT,I
149.1670275,-27.0932636,ANT,I
148.16179361111108,-27.0868015,ANT,I
147.65928305555553,-27.0835037,ANT,O
147.6675361111111,-26.0835304,ANT,I
147.67566138888887,-25.0835571,ANT,I
147.67968138888887,-24.5835705,ANT,O
207.87348749999998,-76.6233521,APS,I
207.98010305555553,-77.6230698,APS,I
208.1051594444444,-78.6227417,APS,I
208.25394611111108,-79.622345,APS,I
208.43407638888885,-80.6218643,APS,I
208.65676361111107,-81.6212769,APS,I
208.93927499999998,-82.6205292,APS,I
209.11110888888885,-83.1200714,APS,O
210.19908444444442,-83.114212,APS,I
211.28620194444443,-83.1081467,APS,I
212.37226055555553,-83.1018829,APS,I
213.45710249999996,-83.0954285,APS,I
214.54098749999997,-83.0887756,APS,I
215.62374138888887,-83.0819321,APS,I
216.70516499999997,-83.0749054,APS,I
217.78557305555552,-83.067688,APS,I
218.86475111111108,-83.0602875,APS,I
219.94252638888887,-83.0527039,APS,I
221.0192161111111,-83.0449448,APS,I
222.09458861111108,-83.0370178,APS,I
223.16847305555552,-83.0289154,APS,I
224.24119944444442,-83.0206451,APS,I
225.3125519444444,-83.012207,APS,I
226.38234611111108,-83.0036087,APS,I
227.45090999999996,-82.9948502,APS,I
228.51804305555552,-82.985939,APS,I
229.58357388888885,-82.9768753,APS,I
230.64778805555554,-82.9676666,APS,I
231.71052888888886,-82.9583054,APS,I
232.77161111111107,-82.9488068,APS,I
233.83136249999998,-82.9391708,APS,I
234.88955555555552,-82.9293976,APS,I
235.94604444444442,-82.9194946,APS,I
237.00114749999997,-82.9094543,APS,I
238.0546619444444,-82.8992996,APS,I
239.10643055555553,-82.8890228,APS,I
240.15681305555552,-82.878624,APS,I
241.20554861111108,-82.8681183,APS,I
242.25248388888886,-82.8574982,APS,I
243.2979869444444,-82.8467789,APS,I
244.34185944444442,-82.8359528,APS,I
245.38393055555554,-82.8250275,APS,I
246.42451361111108,-82.814003,APS,I
247.46340749999996,-82.8028946,APS,I
248.50049999999996,-82.7916946,APS,I
249.53610444444442,-82.7804184,APS,I
250.57001999999997,-82.7690506,APS,I
251.60213388888886,-82.7576141,APS,I
252.6327044444444,-82.746109,APS,I
253.66161305555553,-82.7345276,APS,I
254.68869138888886,-82.7228928,APS,I
255.71422638888885,-82.7111893,APS,I
256.7380994444444,-82.6994324,APS,I
257.7600855555555,-82.6876221,APS,I
258.780585,-82.6757584,APS,I
259.7994225,-82.6638565,APS,I
260.8164313888889,-82.6519089,APS,I
261.8318938888888,-82.6399307,APS,I
262.84569749999997,-82.6279144,APS,I
263.8576694444444,-82.6158676,APS,I
264.86815499999994,-82.6037903,APS,I
265.8770086111111,-82.5916977,APS,I
266.88400194444444,-82.5795898,APS,I
267.88953749999996,-82.5674591,APS,I
268.89341388888886,-82.5553207,APS,I
269.8955444444444,-82.5431747,APS,I
270.8961869444444,-82.5310287,APS,I
271.89519888888884,-82.5188751,APS,I
272.8924363888889,-82.5067368,APS,I
273.8882444444444,-82.4945984,APS,I
274.8824505555555,-82.4824753,APS,I
275.87493888888883,-82.4703598,APS,I
276.8659980555555,-82.4582748,APS,O
276.24260861111105,-81.4620667,APS,I
275.74865388888884,-80.4650726,APS,I
275.34748055555553,-79.467514,APS,I
275.0150294444444,-78.4695358,APS,I
274.73490749999996,-77.4712372,APS,I
274.4954969444444,-76.4726868,APS,I
274.2884730555555,-75.4739532,APS,I
274.19506055555553,-74.9745178,APS,O
274.02531611111107,-73.9755478,APS,I
273.87502638888884,-72.9764633,APS,I
273.74090249999995,-71.9772797,APS,I
273.62045249999994,-70.9780121,APS,I
273.51159138888886,-69.9786682,APS,I
273.4126861111111,-68.9792709,APS,I
273.3223636111111,-67.9798203,APS,I
273.28007694444443,-67.4800797,APS,O
272.2810936111111,-67.492218,APS,I
271.28176638888885,-67.504364,APS,I
270.28178249999996,-67.5165176,APS,I
269.2812825,-67.5286636,APS,I
268.28043888888885,-67.540802,APS,I
267.27890999999994,-67.5529327,APS,I
266.276865,-67.5650558,APS,I
265.77572861111105,-67.571106,APS,O
264.77291111111106,-67.5831985,APS,I
263.76975,-67.5952682,APS,I
262.76590361111107,-67.6073151,APS,I
261.76154111111106,-67.6193314,APS,I
260.7568080555555,-67.6313095,APS,I
259.7514436111111,-67.6432495,APS,I
258.74553749999995,-67.655159,APS,I
258.2424825,-67.661087,APS,O
258.3276555555555,-68.6605911,APS,I
258.4207530555555,-69.6600418,APS,I
258.47067888888887,-70.1597443,APS,O
257.46322638888887,-70.1715927,APS,I
256.45531638888883,-70.1833878,APS,I
255.44669111111108,-70.1951294,APS,I
254.43749388888887,-70.2068176,APS,I
253.42789638888885,-70.2184448,APS,I
252.41755499999996,-70.2300034,APS,I
251.40661194444442,-70.2415009,APS,I
250.39526999999995,-70.2529221,APS,I
249.38321111111108,-70.2642746,APS,I
248.37058055555553,-70.2755432,APS,I
247.3575494444444,-70.2867279,APS,I
246.34380305555553,-70.2978363,APS,I
245.32948499999998,-70.3088455,APS,I
244.31482361111108,-70.3197708,APS,I
243.29941805555552,-70.3305969,APS,I
242.28346805555552,-70.3413162,APS,I
241.26711888888886,-70.351944,APS,I
240.25010999999998,-70.3624573,APS,I
239.2325594444444,-70.3728638,APS,I
238.21466388888885,-70.3831635,APS,I
237.19606944444442,-70.3933411,APS,I
236.17692888888885,-70.4033966,APS,I
235.15747499999998,-70.4133301,APS,I
234.13734888888885,-70.4231415,APS,I
233.1167219444444,-70.4328232,APS,I
232.09576638888885,-70.4423676,APS,I
231.07416611111108,-70.4517822,APS,I
230.0520661111111,-70.4610596,APS,I
229.02966444444442,-70.470192,APS,I
228.00663444444442,-70.4791794,APS,I
226.98314694444443,-70.4880219,APS,I
225.95935805555553,-70.4967117,APS,I
224.93498388888887,-70.505249,APS,I
224.16644111111108,-70.5115433,APS,O
223.14129305555554,-70.5198135,APS,I
222.11587499999996,-70.5279083,APS,I
221.08986888888887,-70.5358505,APS,I
220.06346249999996,-70.5436249,APS,I
219.03681305555554,-70.5512238,APS,I
218.00961888888887,-70.5586624,APS,I
216.98204111111107,-70.565918,APS,I
215.95423194444442,-70.5730057,APS,I
214.92590861111108,-70.5799103,APS,I
213.89722805555553,-70.5866318,APS,I
212.86836138888887,-70.5931778,APS,I
211.83899388888887,-70.5995331,APS,I
210.80929805555553,-70.6057053,APS,I
209.77942944444442,-70.6116867,APS,I
208.74910361111108,-70.6174774,APS,I
207.71844888888887,-70.6230698,APS,I
207.46087055555552,-70.6244431,APS,O
207.51143999999996,-71.6243057,APS,I
207.56760138888887,-72.6241608,APS,I
207.63040055555552,-73.6239929,APS,I
207.70112555555554,-74.6238022,APS,I
207.78143388888887,-75.6235962,APS,O
309.67500749999994,-7.5634623,AQR,I
309.66539388888884,-6.563508,AQR,I
309.6558088888888,-5.5635533,AQR,I
309.6462825,-4.5635982,AQR,I
309.6367544444444,-3.5636432,AQR,I
309.62725638888884,-2.5636883,AQR,I
309.6177869444444,-1.5637331,AQR,I
309.6083161111111,-0.563778,AQR,I
309.59884638888883,0.4361772,AQR,O
309.5893769444444,1.4361323,AQR,I
309.57987749999995,2.4360874,AQR,O
310.5801780555555,2.445492,AQR,I
311.58050555555553,2.4547608,AQR,I
312.5806905555555,2.4638896,AQR,I
313.5810180555555,2.4728787,AQR,I
314.0810969444444,2.4773185,AQR,O
315.0814244444444,2.4860904,AQR,I
316.0817819444444,2.494714,AQR,I
317.0819955555555,2.503186,AQR,I
318.08235138888887,2.5115056,AQR,I
319.08273749999995,2.5196695,AQR,I
320.0829511111111,2.5276737,AQR,I
321.0833355555555,2.5355186,AQR,I
321.5834713888888,2.5393796,AQR,O
322.5838844444444,2.5469787,AQR,I
323.5842705555555,2.5544112,AQR,O
323.57874888888887,3.3043909,AQR,O
324.57913361111105,3.3116543,AQR,I
325.5796619444444,3.3187475,AQR,I
326.58021888888885,3.3256676,AQR,O
326.5870861111111,2.325691,AQR,O
327.58732805555553,2.3324335,AQR,I
328.58771249999995,2.3389995,AQR,I
329.5881269444444,2.345386,AQR,I
330.58834055555553,2.3515899,AQR,I
331.58875499999994,2.3576119,AQR,O
331.5872669444444,2.6076074,AQR,O
332.5877386111111,2.6134443,AQR,I
333.58806611111106,2.6190934,AQR,I
334.5885375,2.6245549,AQR,I
335.5890088888888,2.6298258,AQR,I
336.58936499999993,2.6349041,AQR,I
337.589865,2.6397896,AQR,I
338.59033638888883,2.6444802,AQR,I
339.59066388888886,2.6489737,AQR,I
340.5911925,2.6532702,AQR,I
341.59169249999997,2.6573677,AQR,I
342.59204861111107,2.6612642,AQR,I
342.8422169444444,2.6622071,AQR,O
342.84596388888883,1.662214,AQR,I
342.84971249999995,0.6622211,AQR,O
342.8534611111111,-0.3377719,AQR,I
342.85720805555553,-1.3377649,AQR,I
342.86095638888884,-2.3377581,AQR,I
342.86470361111105,-3.3377509,AQR,O
343.8640019444444,-3.3341103,AQR,I
344.8631580555555,-3.330673,AQR,I
345.86245499999995,-3.3274388,AQR,I
346.86175361111106,-3.3244095,AQR,I
347.8608794444444,-3.3215861,AQR,I
348.8601494444444,-3.318969,AQR,I
349.8594763888888,-3.3165591,AQR,I
350.8585738888888,-3.3143575,AQR,I
351.8578724999999,-3.3123643,AQR,I
352.85714111111105,-3.3105805,AQR,I
353.8562969444444,-3.3090067,AQR,I
354.85556555555553,-3.3076429,AQR,I
355.8548355555555,-3.3064899,AQR,I
356.8539613888888,-3.3055482,AQR,I
357.85323138888884,-3.3048177,AQR,I
358.85250138888887,-3.3042989,AQR,I
359.10221111111105,-3.3042023,AQR,O
359.1025830555555,-4.3042021,AQR,I
359.1029263888888,-5.3042026,AQR,I
359.1032986111111,-6.3042021,AQR,O
359.1036705555555,-7.3042021,AQR,I
359.10404249999993,-8.3042021,AQR,I
359.1044144444444,-9.3042011,AQR,I
359.10478638888884,-10.3042021,AQR,I
359.10515861111105,-11.3042021,AQR,I
359.1055305555555,-12.3042011,AQR,I
359.10590111111105,-13.3042021,AQR,I
359.1062730555555,-14.3042021,AQR,I
359.1066736111111,-15.3042011,AQR,I
359.10707388888886,-16.3042011,AQR,I
359.1074461111111,-17.3042011,AQR,I
359.10784638888885,-18.3042011,AQR,I
359.10824861111104,-19.3042011,AQR,I
359.10864888888887,-20.3042011,AQR,I
359.1090780555555,-21.3042011,AQR,I
359.10947861111106,-22.3042011,AQR,I
359.10990749999996,-23.3042011,AQR,I
359.11033638888887,-24.3042011,AQR,I
359.1105644444444,-24.8042011,AQR,O
358.11635999999993,-24.8046646,AQR,I
357.1219830555555,-24.8053398,AQR,I
356.12760611111105,-24.8062248,AQR,I
355.13337138888886,-24.8073196,AQR,I
354.1389944444444,-24.8086243,AQR,I
353.14458888888885,-24.8101368,AQR,I
352.15029749999997,-24.811861,AQR,I
351.15586361111104,-24.8137913,AQR,I
350.1614280555555,-24.8159313,AQR,I
349.1671363888888,-24.8182774,AQR,I
348.1726455555555,-24.8208313,AQR,I
347.17812611111106,-24.8235893,AQR,I
346.68096611111105,-24.8250446,AQR,O
345.6863880555555,-24.8281116,AQR,I
344.69201111111107,-24.8313808,AQR,I
343.6974044444444,-24.8348522,AQR,I
342.7027994444444,-24.8385258,AQR,I
341.70827861111104,-24.8423996,AQR,I
340.71361499999995,-24.8464737,AQR,I
339.7188944444444,-24.8507462,AQR,I
338.7243180555555,-24.8552132,AQR,I
337.7295405555555,-24.8598766,AQR,I
336.7347330555555,-24.8647346,AQR,I
335.7400125,-24.8697853,AQR,I
334.7451211111111,-24.8750267,AQR,I
333.7502011111111,-24.8804569,AQR,I
332.75533638888885,-24.886076,AQR,I
331.7603294444444,-24.89188,AQR,I
330.76523861111104,-24.897871,AQR,I
329.7702886111111,-24.9040413,AQR,O
329.7627075,-23.9040642,AQR,I
329.75523888888887,-22.904089,AQR,I
329.74785749999995,-21.9041119,AQR,I
329.74062,-20.9041328,AQR,I
329.7334380555555,-19.9041576,AQR,I
329.7263713888888,-18.9041786,AQR,I
329.7193905555555,-17.9041996,AQR,I
329.71246638888886,-16.9042225,AQR,I
