iDR5_Field_Name,Field,NAME,CALIB,ZP_U,ZP_F378,ZP_F395,ZP_F410,ZP_F430,ZP_G,ZP_F515,ZP_R,ZP_F660,ZP_I,ZP_F861,ZP_Z
SPLUS-s43s21,SPLUS-s43s21,SPLUS-s43s21,Calibration_iDR5_3_Main,20.9182,20.275,20.308,21.1927,21.3161,23.6058,21.5434,23.6496,21.127,23.3971,21.6761,22.8162
SPLUS-s43s22,SPLUS-s43s22,SPLUS-s43s22,Calibration_iDR5_3_Main,20.8008,20.1579,20.165,21.0482,21.1762,23.5038,21.4567,23.5858,21.0727,23.3535,21.6305,22.7808
SPLUS-s43s23,SPLUS-s43s23,SPLUS-s43s23,Calibration_iDR5_3_Main,19.6977,19.061,19.0372,19.8973,20.0069,22.3836,20.3536,22.5717,20.0731,22.3694,20.6944,21.7569
SPLUS-s43s24,SPLUS-s43s24,SPLUS-s43s24,Calibration_iDR5_3_Main,19.6461,19.019,19.0034,19.8709,19.9866,22.373,20.3415,22.5602,20.0632,22.353,20.6697,21.731
SPLUS-s43s25,SPLUS-s43s25,SPLUS-s43s25,Calibration_iDR5_3_Main,19.8368,19.2067,19.1862,20.0421,20.142,22.4947,20.4519,22.6522,20.1503,22.4545,20.7437,21.8778
SPLUS-s43s26,SPLUS-s43s26,SPLUS-s43s26,Calibration_iDR5_3_Main,19.7255,19.1153,19.0935,19.9554,20.0443,22.4175,20.3821,22.6113,20.1166,22.4323,20.7355,21.8529
SPLUS-s43s27,SPLUS-s43s27,SPLUS-s43s27,Calibration_iDR5_3_Main,19.7724,19.1392,19.1211,19.9792,20.0781,22.4386,20.4048,22.6052,20.1046,22.3981,20.7009,21.794
SPLUS-s43s28,SPLUS-s43s28,SPLUS-s43s28,Calibration_iDR5_3_Main,19.7553,19.1284,19.1236,19.9854,20.0886,22.4568,20.4272,22.6381,20.1366,22.456,20.7447,21.902
SPLUS-s43s29,SPLUS-s43s29,SPLUS-s43s29,Calibration_iDR5_3_Main,19.8193,19.1818,19.1623,20.0358,20.1342,22.4876,20.446,22.6391,20.1321,22.4329,20.7233,21.8539
SPLUS-s43s30,SPLUS-s43s30,SPLUS-s43s30,Calibration_iDR5_3_Main,19.8012,19.1643,19.1519,20.008,20.11,22.471,20.4295,22.632,20.13,22.432,20.7251,21.8562
SPLUS-s43s31,SPLUS-s43s31,SPLUS-s43s31,Calibration_iDR5_3_Main,19.8035,19.1664,19.1521,20.0132,20.1132,22.4763,20.4361,22.634,20.1358,22.4339,20.7283,21.8524
SPLUS-s43s32,SPLUS-s43s32,SPLUS-s43s32,Calibration_iDR5_3_Main,19.8234,19.1822,19.1546,20.0208,20.1159,22.4806,20.4335,22.6408,20.1374,22.4443,20.7323,21.8796
SPLUS-s43s33,SPLUS-s43s33,SPLUS-s43s33,Calibration_iDR5_3_Main,19.6863,19.0954,19.1142,19.986,20.113,22.4907,20.4551,22.6516,20.1585,22.4695,20.7576,21.9159
SPLUS-s43s46,SPLUS-s43s46,SPLUS-s43s46,Calibration_iDR5_3_Main,20.7982,20.1625,20.1683,21.0438,21.1614,23.4931,21.4495,23.5757,21.0626,23.3374,21.6214,22.7482
SPLUS-s44s06,SPLUS-s44s06,SPLUS-s44s06,Calibration_iDR5_3_Main,19.6377,19.0427,19.0443,19.9203,20.0321,22.4243,20.3946,22.61,20.123,22.4406,20.7348,21.899
SPLUS-s44s18,SPLUS-s44s18,SPLUS-s44s18,Calibration_iDR5_3_Main,19.6121,18.9908,18.9915,19.852,19.9628,22.3486,20.3212,22.5535,20.0647,22.3809,20.6869,21.82
