iDR5_Field_Name,Field,NAME,PHOT,aper_corr_single_U,aper_corr_single_F378,aper_corr_single_F395,aper_corr_single_F410,aper_corr_single_F430,aper_corr_single_G,aper_corr_single_F515,aper_corr_single_R,aper_corr_single_F660,aper_corr_single_I,aper_corr_single_F861,aper_corr_single_Z
SPLUS-n03s22,SPLUS-n03s22,SPLUS-n03s22,single,-0.49776,-0.32082,-0.72904,-0.74536,-0.61265,-0.5611,-0.56295,-0.4553,-0.46504,-0.41286,-0.40351,-0.42778
SPLUS-n03s23,SPLUS-n03s23,SPLUS-n03s23,single,-0.09047,-0.06209,-0.05975,-0.37621,-0.36531,-0.36167,-0.33645,-0.32076,-0.33845,-0.29761,-0.28747,-0.30419
SPLUS-n03s24,SPLUS-n03s24,SPLUS-n03s24,single,-0.54296,-0.09123,-0.16158,-0.48568,-0.37502,-0.34066,-0.32636,-0.2847,-0.30091,-0.28324,-0.28998,-0.29684
SPLUS-n03s25,SPLUS-n03s25,SPLUS-n03s25,single,-0.08618,-0.20863,-0.08453,-0.39549,-0.35197,-0.39115,-0.34809,-0.3351,-0.28927,-0.2848,-0.26999,-0.29275
SPLUS-n03s26,SPLUS-n03s26,SPLUS-n03s26,single,-0.43402,-0.12477,-0.41843,-0.42915,-0.36885,-0.34942,-0.33441,-0.28117,-0.27742,-0.24892,-0.25785,-0.27911
SPLUS-n03s27,SPLUS-n03s27,SPLUS-n03s27,single,-0.54399,-0.80513,-0.47209,-0.4989,-0.47344,-0.49903,-0.42302,-0.35675,-0.43322,-0.29397,-0.35699,-0.33
SPLUS-n03s28,SPLUS-n03s28,SPLUS-n03s28,single,-0.15893,-0.12979,-0.42679,-0.45157,-0.41085,-0.36539,-0.34997,-0.29534,-0.26609,-0.2833,-0.25258,-0.27923
SPLUS-n03s43,SPLUS-n03s43,SPLUS-n03s43,single,-0.41006,-0.09408,-0.12952,-0.36734,-0.35108,-0.3403,-0.3154,-0.30689,-0.31428,-0.27794,-0.28313,-0.30609
SPLUS-n03s44,SPLUS-n03s44,SPLUS-n03s44,single,-0.29779,-0.28736,-0.33745,-0.31763,-0.36806,-0.37053,-0.33564,-0.27194,-0.26118,-0.24926,-0.24734,-0.27086
SPLUS-n04n01,SPLUS-n04n01,SPLUS-n04n01,single,-0.41872,-0.3181,-0.30386,-0.31618,-0.37105,-0.28041,-0.27717,-0.28094,-0.26417,-0.22055,-0.23305,-0.23899
SPLUS-n04n51,SPLUS-n04n51,SPLUS-n04n51,single,-0.60986,-0.62564,-0.62354,-0.57092,-0.54493,-0.54411,-0.44827,-0.47032,-0.36971,-0.44136,-0.33421,-0.43253
SPLUS-n04n52,SPLUS-n04n52,SPLUS-n04n52,single,-0.60794,-0.48008,-0.49405,-0.54384,-0.53988,-0.51176,-0.49429,-0.50513,-0.5538,-0.45304,-0.44661,-0.4094
SPLUS-n04n53,SPLUS-n04n53,SPLUS-n04n53,single,-0.56303,-0.28124,-0.15594,-0.51033,-0.49746,-0.49046,-0.48773,-0.47619,-0.62032,-0.4053,-0.46165,-0.4348
SPLUS-n04n54,SPLUS-n04n54,SPLUS-n04n54,single,-0.36637,-0.33889,-0.33646,-0.33932,-0.35327,-0.32349,-0.31985,-0.31477,-0.29228,-0.23813,-0.24843,-0.26283
SPLUS-n04n55,SPLUS-n04n55,SPLUS-n04n55,single,-0.41926,-0.36517,-0.33799,-0.33182,-0.32874,-0.32589,-0.30153,-0.23523,-0.2497,-0.24282,-0.29567,-0.2998
SPLUS-n04s01,SPLUS-n04s01,SPLUS-n04s01,single,-0.59697,-0.56097,-0.19572,-0.52546,-0.52537,-0.50725,-0.52365,-0.43079,-0.43887,-0.38001,-0.38211,-0.39285
SPLUS-n04s02,SPLUS-n04s02,SPLUS-n04s02,single,-0.54316,-0.59548,-0.6391,-0.65629,-0.52831,-0.39848,-0.39526,-0.44764,-0.43241,-0.36084,-0.33658,-0.46559
SPLUS-n04s03,SPLUS-n04s03,SPLUS-n04s03,single,-0.79644,-0.6399,-0.59918,-0.60727,-0.57186,-0.56776,-0.52333,-0.63545,-0.52378,-0.49001,-0.40393,-0.48871
SPLUS-n04s04,SPLUS-n04s04,SPLUS-n04s04,single,-0.61902,-0.64564,-0.64271,-0.58144,-0.43369,-0.42787,-0.41798,-0.38647,-0.40658,-0.35675,-0.40286,-0.33472
SPLUS-n04s05,SPLUS-n04s05,SPLUS-n04s05,single,-0.36826,-0.1046,-0.16986,-0.37355,-0.42982,-0.34642,-0.33098,-0.30538,-0.29131,-0.26573,-0.29705,-0.28598
SPLUS-n04s06,SPLUS-n04s06,SPLUS-n04s06,single,-0.48663,-0.46841,-0.52645,-0.5436,-0.57394,-0.51316,-0.51707,-0.42199,-0.45328,-0.41869,-0.3771,-0.43952
SPLUS-n04s07,SPLUS-n04s07,SPLUS-n04s07,single,-0.43756,-0.1867,-0.33995,-0.37212,-0.35383,-0.34713,-0.33242,-0.3056,-0.31102,-0.27536,-0.26995,-0.30599
SPLUS-n04s08,SPLUS-n04s08,SPLUS-n04s08,single,-0.36352,-0.18377,-0.34167,-0.39256,-0.3742,-0.32549,-0.32317,-0.31379,-0.30104,-0.29,-0.27708,-0.32907
SPLUS-n04s09,SPLUS-n04s09,SPLUS-n04s09,single,-0.56915,-0.53941,-0.47195,-0.48247,-0.46646,-0.45414,-0.40506,-0.41803,-0.39758,-0.31635,-0.32862,-0.36101
SPLUS-n04s10,SPLUS-n04s10,SPLUS-n04s10,single,-0.67759,-0.53397,-0.55964,-0.56619,-0.54016,-0.5004,-0.47957,-0.46992,-0.49165,-0.36223,-0.35361,-0.39529
SPLUS-n04s23,SPLUS-n04s23,SPLUS-n04s23,single,-0.36123,-0.19861,-0.29332,-0.31948,-0.29996,-0.27347,-0.2715,-0.21998,-0.27299,-0.20652,-0.24147,-0.22567
SPLUS-n04s41,SPLUS-n04s41,SPLUS-n04s41,single,-0.45746,-0.43338,-0.45995,-0.41368,-0.4846,-0.44875,-0.49383,-0.41656,-0.43463,-0.33288,-0.41534,-0.30184
SPLUS-n04s42,SPLUS-n04s42,SPLUS-n04s42,single,-0.60272,-0.55388,-0.58823,-0.64609,-0.58017,-0.7174,-0.64838,-0.62795,-0.73886,-0.57224,-0.58541,-0.55996
SPLUS-n04s43,SPLUS-n04s43,SPLUS-n04s43,single,-0.61081,-0.47231,-0.40744,-0.40968,-0.45648,-0.55402,-0.47356,-0.48454,-0.77166,-0.44395,-0.59585,-0.43703
SPLUS-n04s44,SPLUS-n04s44,SPLUS-n04s44,single,-0.49867,-0.29551,-0.62005,-0.65873,-0.51816,-0.51719,-0.44897,-0.49175,-0.63641,-0.66458,-0.6245,-0.59213
SPLUS-n05n50,SPLUS-n05n50,SPLUS-n05n50,single,-0.42499,-0.29668,-0.27503,-0.28508,-0.27208,-0.26342,-0.24412,-0.25207,-0.32019,-0.2316,-0.30079,-0.25216
SPLUS-n05n51,SPLUS-n05n51,SPLUS-n05n51,single,-0.34779,-0.16926,-0.33947,-0.34126,-0.31806,-0.29607,-0.31011,-0.24879,-0.29806,-0.24021,-0.26403,-0.26598
SPLUS-n05n52,SPLUS-n05n52,SPLUS-n05n52,single,-0.48614,-0.53613,-0.64752,-0.69907,-0.54436,-0.45564,-0.46568,-0.32367,-0.35183,-0.28589,-0.28238,-0.30389
SPLUS-n05n53,SPLUS-n05n53,SPLUS-n05n53,single,-0.98944,-0.95266,-0.90651,-0.84074,-0.77909,-0.94579,-0.86121,-0.92143,-0.83601,-0.73734,-0.72248,-0.72988
SPLUS-n05n54,SPLUS-n05n54,SPLUS-n05n54,single,-0.57936,-0.49589,-0.46136,-0.46336,-0.46339,-0.49019,-0.46671,-0.41304,-0.41183,-0.34766,-0.33975,-0.34149
SPLUS-n05n55,SPLUS-n05n55,SPLUS-n05n55,single,-0.74355,-0.70672,-0.85393,-0.71409,-0.7493,-0.74364,-0.69933,-0.66294,-0.77443,-0.59224,-0.67592,-0.68685
SPLUS-n05s01,SPLUS-n05s01,SPLUS-n05s01,single,-0.57353,-0.37736,-0.37886,-0.38494,-0.3895,-0.39463,-0.37266,-0.34612,-0.32178,-0.29373,-0.31594,-0.31283
SPLUS-n05s02,SPLUS-n05s02,SPLUS-n05s02,single,-0.48967,-0.44421,-0.44524,-0.41259,-0.42063,-0.38079,-0.38546,-0.33853,-0.34721,-0.28469,-0.29171,-0.30233
SPLUS-n05s03,SPLUS-n05s03,SPLUS-n05s03,single,-0.48738,-0.2077,-0.10618,-0.43127,-0.41981,-0.39828,-0.36992,-0.37633,-0.31299,-0.30018,-0.27038,-0.31777
SPLUS-n05s04,SPLUS-n05s04,SPLUS-n05s04,single,-0.65422,-0.62531,-0.59133,-0.53922,-0.51061,-0.49496,-0.40786,-0.40268,-0.39305,-0.32123,-0.36599,-0.35805
SPLUS-n05s05,SPLUS-n05s05,SPLUS-n05s05,single,-0.66218,-0.50336,-0.42932,-0.46944,-0.45162,-0.40914,-0.42519,-0.37785,-0.37649,-0.31891,-0.31607,-0.30738
SPLUS-n05s06,SPLUS-n05s06,SPLUS-n05s06,single,-0.94897,-0.85176,-0.51577,-0.57186,-0.68701,-0.53003,-0.59322,-0.38714,-0.53782,-0.53859,-0.33892,-0.64675
SPLUS-n05s07,SPLUS-n05s07,SPLUS-n05s07,single,-0.43467,-0.37854,-0.37461,-0.38641,-0.39235,-0.32362,-0.34918,-0.29211,-0.28941,-0.27823,-0.25747,-0.28592
SPLUS-n05s08,SPLUS-n05s08,SPLUS-n05s08,single,-0.5924,-0.54483,-0.6011,-0.50499,-0.44446,-0.4025,-0.43596,-0.35922,-0.33721,-0.34929,-0.29315,-0.38053
SPLUS-n05s09,SPLUS-n05s09,SPLUS-n05s09,single,-0.44024,-0.17427,-0.16715,-0.3867,-0.40839,-0.35187,-0.38475,-0.32516,-0.29425,-0.28489,-0.25325,-0.30405
SPLUS-n05s10,SPLUS-n05s10,SPLUS-n05s10,single,-0.46229,-0.11349,-0.43875,-0.47492,-0.42733,-0.4093,-0.39335,-0.3549,-0.34889,-0.32229,-0.31838,-0.32677
SPLUS-n05s11,SPLUS-n05s11,SPLUS-n05s11,single,-0.52314,-0.13066,-0.20481,-0.4305,-0.38402,-0.3701,-0.38924,-0.35702,-0.33019,-0.30187,-0.29907,-0.30651
SPLUS-n05s43,SPLUS-n05s43,SPLUS-n05s43,single,-0.48652,-0.23694,-0.43596,-0.44568,-0.47047,-0.47847,-0.46215,-0.40924,-0.45401,-0.33512,-0.44955,-0.34556
SPLUS-n05s44,SPLUS-n05s44,SPLUS-n05s44,single,-0.19495,-0.0968,-0.08599,-0.44232,-0.42923,-0.41418,-0.39694,-0.3882,-0.37658,-0.33231,-0.31782,-0.32181
SPLUS-n05s45,SPLUS-n05s45,SPLUS-n05s45,single,-0.48786,-0.35379,-0.42732,-0.50605,-0.39563,-0.39886,-0.39149,-0.38856,-0.3652,-0.33297,-0.31033,-0.29178
SPLUS-n06s01,SPLUS-n06s01,SPLUS-n06s01,single,-0.61398,-0.4384,-0.3891,-0.38315,-0.39934,-0.4152,-0.39193,-0.37984,-0.3327,-0.31965,-0.30194,-0.29371
SPLUS-n06s02,SPLUS-n06s02,SPLUS-n06s02,single,-0.69778,-0.64284,-0.6062,-0.62595,-0.62559,-0.57169,-0.56009,-0.43239,-0.4703,-0.39779,-0.41592,-0.45388
SPLUS-n06s03,SPLUS-n06s03,SPLUS-n06s03,single,-0.48354,-0.33873,-0.42645,-0.43993,-0.39789,-0.4079,-0.37653,-0.3433,-0.35016,-0.3171,-0.31876,-0.34069
SPLUS-n06s04,SPLUS-n06s04,SPLUS-n06s04,single,-0.50343,-0.46716,-0.42709,-0.41751,-0.40454,-0.37776,-0.43648,-0.30555,-0.29915,-0.28,-0.24176,-0.29067
SPLUS-n06s05,SPLUS-n06s05,SPLUS-n06s05,single,-0.43094,-0.14547,-0.32869,-0.43579,-0.39972,-0.38552,-0.37479,-0.34588,-0.3978,-0.31493,-0.29949,-0.31221
SPLUS-n06s06,SPLUS-n06s06,SPLUS-n06s06,single,-0.96705,-0.76872,-0.73357,-0.73818,-0.67154,-0.58083,-0.61738,-0.62046,-0.5656,-0.4575,-0.47406,-0.44971
SPLUS-n06s07,SPLUS-n06s07,SPLUS-n06s07,single,-0.51532,-0.41297,-0.39685,-0.40782,-0.38119,-0.33742,-0.34661,-0.31204,-0.31328,-0.27394,-0.25339,-0.28112
SPLUS-n06s08,SPLUS-n06s08,SPLUS-n06s08,single,-0.42712,-0.38277,-0.39761,-0.40425,-0.38826,-0.34736,-0.34802,-0.32574,-0.30627,-0.33272,-0.25459,-0.32185
SPLUS-n06s09,SPLUS-n06s09,SPLUS-n06s09,single,-0.36658,-0.13087,-0.32244,-0.35904,-0.36746,-0.3478,-0.34443,-0.30279,-0.28804,-0.26421,-0.26331,-0.2928
SPLUS-n06s10,SPLUS-n06s10,SPLUS-n06s10,single,-0.59602,-0.43732,-0.49541,-0.47405,-0.45759,-0.41438,-0.41592,-0.38361,-0.29835,-0.36576,-0.25912,-0.33259
SPLUS-n06s11,SPLUS-n06s11,SPLUS-n06s11,single,-0.67458,-0.6749,-0.73256,-0.64249,-0.69263,-0.69336,-0.71802,-0.69158,-0.44075,-0.4498,-0.3282,-0.41532
SPLUS-n06s12,SPLUS-n06s12,SPLUS-n06s12,single,-0.4818,-0.18518,-0.26643,-0.42002,-0.40634,-0.3733,-0.36516,-0.33202,-0.32056,-0.29679,-0.29027,-0.3052
SPLUS-n06s13,SPLUS-n06s13,SPLUS-n06s13,single,-0.54104,-0.36451,-0.43968,-0.47159,-0.46389,-0.42329,-0.42174,-0.42899,-0.39557,-0.35592,-0.30437,-0.35139
SPLUS-n06s40,SPLUS-n06s40,SPLUS-n06s40,single,-0.87449,-0.91851,-0.77523,-0.81259,-0.71114,-0.75945,-0.78914,-0.69721,-0.59899,-0.50967,-0.42832,-0.52384
SPLUS-n06s41,SPLUS-n06s41,SPLUS-n06s41,single,-0.48991,-0.51166,-0.4888,-0.5783,-0.42998,-0.50114,-0.39886,-0.44319,-0.3665,-0.37825,-0.29787,-0.46741
SPLUS-n06s42,SPLUS-n06s42,SPLUS-n06s42,single,-0.33069,-0.27505,-0.30848,-0.31273,-0.33007,-0.35571,-0.32633,-0.33061,-0.36718,-0.3136,-0.3222,-0.292
SPLUS-n06s43,SPLUS-n06s43,SPLUS-n06s43,single,-0.50459,-0.4852,-0.424,-0.44415,-0.40795,-0.42774,-0.40167,-0.37702,-0.43776,-0.32147,-0.33489,-0.33952
SPLUS-n06s44,SPLUS-n06s44,SPLUS-n06s44,single,-0.38078,-0.23361,-0.3616,-0.38885,-0.38391,-0.34701,-0.36246,-0.30887,-0.32069,-0.28546,-0.27293,-0.30543
SPLUS-n06s45,SPLUS-n06s45,SPLUS-n06s45,single,-0.55125,-0.6015,-0.31382,-0.58713,-0.5378,-0.5357,-0.46112,-0.52743,-0.39541,-0.45631,-0.37131,-0.37995
SPLUS-n07s01,SPLUS-n07s01,SPLUS-n07s01,single,-0.60476,-0.4735,-0.46749,-0.43063,-0.48501,-0.36863,-0.38441,-0.31822,-0.40325,-0.30008,-0.29487,-0.31164
SPLUS-n07s02,SPLUS-n07s02,SPLUS-n07s02,single,-0.48775,-0.49587,-0.41248,-0.38414,-0.39809,-0.37825,-0.36534,-0.30453,-0.31985,-0.26703,-0.28201,-0.29945
SPLUS-n07s03,SPLUS-n07s03,SPLUS-n07s03,single,-0.61616,-0.22888,-0.37818,-0.43917,-0.43013,-0.37314,-0.37378,-0.38964,-0.34783,-0.31641,-0.30827,-0.32162
SPLUS-n07s04,SPLUS-n07s04,SPLUS-n07s04,single,-0.21255,-0.07381,-0.08872,-0.37122,-0.35693,-0.35716,-0.34416,-0.30227,-0.22179,-0.26102,-0.21142,-0.29152
SPLUS-n07s05,SPLUS-n07s05,SPLUS-n07s05,single,-0.40147,-0.1712,-0.32155,-0.36296,-0.35933,-0.31813,-0.3277,-0.26746,-0.30864,-0.25072,-0.25277,-0.25619
SPLUS-n07s06,SPLUS-n07s06,SPLUS-n07s06,single,-0.52828,-0.45368,-0.4013,-0.39289,-0.38216,-0.37705,-0.38653,-0.33894,-0.29515,-0.28935,-0.24463,-0.28462
SPLUS-n07s07,SPLUS-n07s07,SPLUS-n07s07,single,-0.41534,-0.23779,-0.31445,-0.34411,-0.33762,-0.32291,-0.30526,-0.28679,-0.28596,-0.25313,-0.25661,-0.27428
SPLUS-n07s08,SPLUS-n07s08,SPLUS-n07s08,single,-0.50506,-0.58138,-0.48745,-0.50244,-0.47045,-0.40659,-0.45082,-0.37636,-0.33205,-0.30808,-0.33423,-0.32492
SPLUS-n07s09,SPLUS-n07s09,SPLUS-n07s09,single,-0.46165,-0.35467,-0.39392,-0.41507,-0.39048,-0.36765,-0.37371,-0.34722,-0.31423,-0.30034,-0.27672,-0.31165
SPLUS-n07s10,SPLUS-n07s10,SPLUS-n07s10,single,-0.48807,-0.41396,-0.46661,-0.47244,-0.44066,-0.42872,-0.4022,-0.34283,-0.31437,-0.29341,-0.29069,-0.29869
SPLUS-n07s11,SPLUS-n07s11,SPLUS-n07s11,single,-0.48694,-0.44065,-0.46325,-0.51,-0.45263,-0.44313,-0.41761,-0.45066,-0.46939,-0.35825,-0.34368,-0.31857
SPLUS-n07s12,SPLUS-n07s12,SPLUS-n07s12,single,-0.49603,-0.38042,-0.42064,-0.41791,-0.39418,-0.32347,-0.33354,-0.29022,-0.29666,-0.24915,-0.26577,-0.27802
SPLUS-n07s13,SPLUS-n07s13,SPLUS-n07s13,single,-0.46563,-0.54511,-0.21737,-0.41781,-0.41542,-0.41845,-0.38315,-0.4335,-0.46658,-0.40874,-0.33649,-0.38282
SPLUS-n07s14,SPLUS-n07s14,SPLUS-n07s14,single,-0.21655,-0.07749,-0.05634,-0.54297,-0.50508,-0.52773,-0.49245,-0.44587,-0.42851,-0.39594,-0.35256,-0.3835
SPLUS-n07s22,SPLUS-n07s22,SPLUS-n07s22,single,-0.38506,-0.18373,-0.2108,-0.47996,-0.42283,-0.35514,-0.38354,-0.30473,-0.38875,-0.26892,-0.29862,-0.29097
SPLUS-n07s38,SPLUS-n07s38,SPLUS-n07s38,single,-0.36668,-0.3978,-0.33989,-0.3481,-0.33323,-0.41291,-0.3036,-0.40252,-0.3824,-0.4157,-0.31387,-0.36529
SPLUS-n07s39,SPLUS-n07s39,SPLUS-n07s39,single,-0.51385,-0.10215,-0.52688,-0.54826,-0.55317,-0.55787,-0.52477,-0.46973,-0.52212,-0.4107,-0.39049,-0.41692
SPLUS-n07s40,SPLUS-n07s40,SPLUS-n07s40,single,-0.43075,-0.17894,-0.1343,-0.50014,-0.41447,-0.38261,-0.36957,-0.35469,-0.31522,-0.30233,-0.34599,-0.31183
SPLUS-n07s41,SPLUS-n07s41,SPLUS-n07s41,single,-0.4332,-0.53183,-0.48235,-0.39946,-0.3693,-0.34982,-0.32258,-0.29085,-0.29542,-0.31128,-0.34544,-0.35715
SPLUS-n07s42,SPLUS-n07s42,SPLUS-n07s42,single,-0.36161,-0.30691,-0.45587,-0.36206,-0.35272,-0.29998,-0.32107,-0.25019,-0.23333,-0.24515,-0.23324,-0.27876
SPLUS-n07s43,SPLUS-n07s43,SPLUS-n07s43,single,-0.34107,-0.33227,-0.32887,-0.31364,-0.30605,-0.26886,-0.25486,-0.22211,-0.23589,-0.22252,-0.23075,-0.2696
SPLUS-n07s44,SPLUS-n07s44,SPLUS-n07s44,single,-0.47491,-0.40222,-0.38424,-0.44543,-0.48775,-0.45934,-0.45213,-0.39192,-0.39207,-0.37691,-0.3447,-0.3605
SPLUS-n07s55,SPLUS-n07s55,SPLUS-n07s55,single,-0.46419,-0.12802,-0.39241,-0.38539,-0.3582,-0.29722,-0.28147,-0.22642,-0.21941,-0.20166,-0.22376,-0.22028
SPLUS-n08s01,SPLUS-n08s01,SPLUS-n08s01,single,-0.515,-0.54718,-0.5343,-0.54338,-0.54036,-0.54356,-0.48924,-0.46701,-0.57054,-0.44269,-0.39916,-0.46301
SPLUS-n08s02,SPLUS-n08s02,SPLUS-n08s02,single,-0.61704,-0.68939,-0.54997,-0.5707,-0.54499,-0.43834,-0.43983,-0.36539,-0.33718,-0.3157,-0.31031,-0.32862
SPLUS-n08s03,SPLUS-n08s03,SPLUS-n08s03,single,-0.31634,-0.31,-0.33649,-0.33587,-0.30393,-0.28222,-0.2684,-0.24522,-0.26766,-0.23656,-0.24338,-0.26213
SPLUS-n08s04,SPLUS-n08s04,SPLUS-n08s04,single,-0.36746,-0.27224,-0.27096,-0.29534,-0.27878,-0.2687,-0.25821,-0.21978,-0.23014,-0.2012,-0.20777,-0.21893
SPLUS-n08s05,SPLUS-n08s05,SPLUS-n08s05,single,-0.5338,-0.38821,-0.37772,-0.34561,-0.35057,-0.33963,-0.32583,-0.26705,-0.08042,-0.25058,-0.28144,-0.2842
SPLUS-n08s06,SPLUS-n08s06,SPLUS-n08s06,single,-0.81597,-0.86134,-0.8163,-0.72138,-0.59825,-0.41556,-0.44176,-0.36649,-0.34943,-0.33162,-0.34788,-0.32915
SPLUS-n08s07,SPLUS-n08s07,SPLUS-n08s07,single,-0.73289,-0.6454,-0.5527,-0.56513,-0.57201,-0.54635,-0.51579,-0.48273,-0.35085,-0.39996,-0.31045,-0.3831
SPLUS-n08s08,SPLUS-n08s08,SPLUS-n08s08,single,-0.53866,-0.14241,-0.27361,-0.48239,-0.45781,-0.42946,-0.39944,-0.38266,-0.35438,-0.32314,-0.34052,-0.32809
SPLUS-n08s09,SPLUS-n08s09,SPLUS-n08s09,single,-0.37613,-0.34045,-0.32029,-0.35475,-0.35785,-0.35117,-0.33786,-0.44201,-0.33454,-0.31374,-0.30921,-0.32304
SPLUS-n08s10,SPLUS-n08s10,SPLUS-n08s10,single,-0.42306,-0.41157,-0.44292,-0.45117,-0.44567,-0.43682,-0.43028,-0.45827,-0.54914,-0.38275,-0.46412,-0.36432
SPLUS-n08s11,SPLUS-n08s11,SPLUS-n08s11,single,-0.67509,-0.80782,-0.61871,-0.63255,-0.56028,-0.45069,-0.51591,-0.35596,-0.46299,-0.32052,-0.4485,-0.41726
SPLUS-n08s12,SPLUS-n08s12,SPLUS-n08s12,single,-0.72363,-0.60054,-0.55585,-0.42089,-0.43063,-0.3732,-0.3529,-0.31278,-0.28763,-0.29911,-0.2943,-0.30243
SPLUS-n08s13,SPLUS-n08s13,SPLUS-n08s13,single,-0.2781,-0.10548,-0.46976,-0.54743,-0.40153,-0.38715,-0.39833,-0.34155,-0.09902,-0.34529,-0.29045,-0.36717
SPLUS-n08s14,SPLUS-n08s14,SPLUS-n08s14,single,-0.30187,-0.11046,-0.28981,-0.3764,-0.37331,-0.34436,-0.35198,-0.29391,-0.29598,-0.26465,-0.26842,-0.28273
SPLUS-n08s15,SPLUS-n08s15,SPLUS-n08s15,single,-0.52282,-0.2372,-0.52883,-0.46566,-0.4019,-0.43735,-0.39114,-0.34067,-0.33212,-0.31423,-0.3577,-0.40351
SPLUS-n08s16,SPLUS-n08s16,SPLUS-n08s16,single,-0.47603,-0.35121,-0.38331,-0.44543,-0.4545,-0.40404,-0.32848,-0.3262,-0.45693,-0.32888,-0.38877,-0.40375
SPLUS-n08s37,SPLUS-n08s37,SPLUS-n08s37,single,-0.62146,-0.43225,-0.08878,-0.47162,-0.47072,-0.44039,-0.43056,-0.40271,-0.3981,-0.34117,-0.33039,-0.33459
SPLUS-n08s38,SPLUS-n08s38,SPLUS-n08s38,single,-0.19706,-0.12432,-0.39675,-0.44185,-0.39761,-0.37755,-0.38399,-0.33301,-0.34471,-0.31259,-0.33323,-0.31963
SPLUS-n08s39,SPLUS-n08s39,SPLUS-n08s39,single,-0.45197,-0.07353,-0.08574,-0.40541,-0.43109,-0.47695,-0.43994,-0.43357,-0.40999,-0.39201,-0.33344,-0.3727
SPLUS-n08s40,SPLUS-n08s40,SPLUS-n08s40,single,-0.36308,-0.36039,-0.32902,-0.34178,-0.35951,-0.33786,-0.33098,-0.30006,-0.41956,-0.27364,-0.45675,-0.30589
SPLUS-n08s41,SPLUS-n08s41,SPLUS-n08s41,single,-0.40752,-0.36101,-0.36006,-0.41276,-0.41588,-0.36443,-0.34261,-0.3321,-0.38395,-0.29316,-0.39363,-0.31932
SPLUS-n08s42,SPLUS-n08s42,SPLUS-n08s42,single,-0.52938,-0.12231,-0.17264,-0.40659,-0.39694,-0.38608,-0.38359,-0.34039,-0.33586,-0.29122,-0.27099,-0.30769
SPLUS-n08s43,SPLUS-n08s43,SPLUS-n08s43,single,-0.42634,-0.1289,-0.29424,-0.32097,-0.33109,-0.32234,-0.33259,-0.26194,-0.2706,-0.23174,-0.25328,-0.26683
SPLUS-n08s53,SPLUS-n08s53,SPLUS-n08s53,single,-0.5093,-0.44475,-0.41643,-0.39837,-0.40359,-0.35764,-0.36097,-0.33166,-0.63001,-0.32231,-0.6154,-0.35188
SPLUS-n09s01,SPLUS-n09s01,SPLUS-n09s01,single,-0.54118,-0.4708,-0.39995,-0.42093,-0.40206,-0.38251,-0.37411,-0.34396,-0.34978,-0.30895,-0.33592,-0.30943
SPLUS-n09s02,SPLUS-n09s02,SPLUS-n09s02,single,-0.54749,-0.50412,-0.50035,-0.508,-0.46544,-0.40948,-0.42323,-0.38252,-0.36871,-0.31584,-0.31805,-0.32857
SPLUS-n09s03,SPLUS-n09s03,SPLUS-n09s03,single,-0.76671,-0.69209,-0.59982,-0.61046,-0.50854,-0.43399,-0.47276,-0.49356,-0.45125,-0.44728,-0.33199,-0.42007
SPLUS-n09s04,SPLUS-n09s04,SPLUS-n09s04,single,-0.55907,-0.43256,-0.45546,-0.51558,-0.43771,-0.41277,-0.40738,-0.3989,-0.38325,-0.34049,-0.31875,-0.34162
SPLUS-n09s05,SPLUS-n09s05,SPLUS-n09s05,single,-0.39186,-0.18749,-0.36208,-0.39878,-0.46012,-0.37927,-0.40274,-0.32121,-0.3448,-0.29812,-0.34874,-0.3216
SPLUS-n09s06,SPLUS-n09s06,SPLUS-n09s06,single,-0.41074,-0.34344,-0.37067,-0.39564,-0.3944,-0.35976,-0.34895,-0.32065,-0.30496,-0.28716,-0.29051,-0.329
SPLUS-n09s07,SPLUS-n09s07,SPLUS-n09s07,single,-0.37748,-0.29663,-0.38979,-0.41717,-0.4214,-0.33508,-0.37827,-0.28525,-0.32622,-0.31053,-0.30031,-0.3473
SPLUS-n09s08,SPLUS-n09s08,SPLUS-n09s08,single,-0.94936,-0.83572,-0.70935,-0.67044,-0.77303,-0.578,-0.59202,-0.55571,-0.55434,-0.42681,-0.43466,-0.40111
SPLUS-n09s09,SPLUS-n09s09,SPLUS-n09s09,single,-0.66437,-0.57625,-0.5918,-0.51195,-0.51358,-0.44698,-0.55848,-0.3679,-0.43414,-0.29941,-0.36439,-0.34441
SPLUS-n09s10,SPLUS-n09s10,SPLUS-n09s10,single,-0.30429,-0.2252,-0.25372,-0.27192,-0.26104,-0.26521,-0.2378,-0.23908,-0.38026,-0.22208,-0.28088,-0.24344
SPLUS-n09s11,SPLUS-n09s11,SPLUS-n09s11,single,-0.1809,-0.05723,-0.08944,-0.39841,-0.38736,-0.37527,-0.36124,-0.32959,-0.30766,-0.29982,-0.2849,-0.30489
SPLUS-n09s12,SPLUS-n09s12,SPLUS-n09s12,single,-0.10228,-0.06257,-0.06505,-0.34934,-0.34382,-0.32445,-0.34584,-0.26473,-0.25684,-0.24517,-0.28129,-0.27033
SPLUS-n09s13,SPLUS-n09s13,SPLUS-n09s13,single,-0.39559,-0.11549,-0.28116,-0.37368,-0.46948,-0.34862,-0.34879,-0.33604,-0.34861,-0.30424,-0.28229,-0.31402
