iDR5_Field_Name,Field,NAME,PHOT,aper_corr_single_U,aper_corr_single_F378,aper_corr_single_F395,aper_corr_single_F410,aper_corr_single_F430,aper_corr_single_G,aper_corr_single_F515,aper_corr_single_R,aper_corr_single_F660,aper_corr_single_I,aper_corr_single_F861,aper_corr_single_Z
STRIPE82_0056,STRIPE82-0056,STRIPE82_0056,single,-0.44627,-0.31569,-0.39739,-0.44074,-0.38301,-0.36555,-0.36374,-0.3138,-0.31276,-0.27854,-0.28321,-0.2948
STRIPE82-0057,STRIPE82-0057,STRIPE82_0057,single,-0.53587,-0.53251,-0.51991,-0.49459,-0.46114,-0.41612,-0.39557,-0.35581,-0.36741,-0.295,-0.32478,-0.31875
STRIPE82-0058,STRIPE82-0058,STRIPE82_0058,single,-0.40725,-0.42627,-0.39968,-0.36858,-0.38863,-0.32999,-0.34168,-0.27919,-0.29917,-0.27764,-0.27814,-0.30981
STRIPE82-0059,STRIPE82-0059,STRIPE82_0059,single,-0.58499,-0.62692,-0.58216,-0.55931,-0.54906,-0.46887,-0.47792,-0.50007,-0.42278,-0.42567,-0.40582,-0.40961
STRIPE82-0060,STRIPE82-0060,STRIPE82_0060,single,-0.56126,-0.59853,-0.55178,-0.44905,-0.45384,-0.49595,-0.50788,-0.52292,-0.47632,-0.42199,-0.3907,-0.397
STRIPE82_0061,STRIPE82-0061,STRIPE82_0061,single,-0.38875,-0.14218,-0.28221,-0.28113,-0.2619,-0.24545,-0.23041,-0.21095,-0.213,-0.19255,-0.22932,-0.21571
STRIPE82-0062,STRIPE82-0062,STRIPE82_0062,single,-0.46611,-0.31936,-0.35141,-0.36828,-0.31093,-0.39676,-0.25102,-0.31622,-0.24005,-0.26186,-0.2498,-0.24883
STRIPE82-0063,STRIPE82-0063,STRIPE82_0063,single,-0.45014,-0.44494,-0.52632,-0.51982,-0.47018,-0.3742,-0.43908,-0.36571,-0.35518,-0.30735,-0.32643,-0.3308
STRIPE82_0064,STRIPE82-0064,STRIPE82_0064,single,-0.0647,-0.52171,-0.43305,-0.43713,-0.34621,-0.31424,-0.29963,-0.29825,-0.37602,-0.27371,-0.2409,-0.2982
STRIPE82_0065,STRIPE82-0065,STRIPE82_0065,single,-0.47879,-0.10775,-0.40746,-0.38827,-0.41736,-0.4049,-0.38549,-0.32921,-0.27908,-0.326,-0.22779,-0.31279
