iDR5_Field_Name,Field,PID,NAME,RA,DEC,RA_d,DEC_d,Reduction,Photometry,Ref_mag_inst
STRIPE82-0037,STRIPE82-0037,STRIPE82,STRIPE82_0037,1:42:03,-0:42:00,25.5125,-0.7,JYPE,all,dual
STRIPE82-0038,STRIPE82-0038,STRIPE82,STRIPE82_0038,1:42:03,+00:42:00,25.5125,0.7,JYPE,all,dual
STRIPE82-0039,STRIPE82-0039,STRIPE82,STRIPE82_0039,1:47:43,-0:42:00,26.92916667,-0.7,JYPE,all,dual
STRIPE82-0040,STRIPE82-0040,STRIPE82,STRIPE82_0040,1:47:43,+00:42:00,26.92916667,0.7,JYPE,all,dual
STRIPE82-0042,STRIPE82-0042,STRIPE82,STRIPE82_0042,1:53:23,+00:42:00,28.34583333,0.7,JYPE,all,dual
STRIPE82-0044,STRIPE82-0044,STRIPE82,STRIPE82_0044,1:59:03,+00:42:00,29.7625,0.7,JYPE,all,dual
STRIPE82-0045,STRIPE82-0045,STRIPE82,STRIPE82_0045,2:04:43,-0:42:00,31.17916667,-0.7,JYPE,all,dual
STRIPE82-0046,STRIPE82-0046,STRIPE82,STRIPE82_0046,2:04:43,+00:42:00,31.17916667,0.7,JYPE,all,dual
STRIPE82-0047,STRIPE82-0047,STRIPE82,STRIPE82_0047,2:10:24,-0:42:00,32.6,-0.7,JYPE,all,dual
STRIPE82-0050,STRIPE82-0050,STRIPE82,STRIPE82_0050,2:16:04,+00:42:00,34.01666667,0.7,JYPE,all,dual
STRIPE82-0051,STRIPE82-0051,STRIPE82,STRIPE82_0051,2:21:44,-0:42:00,35.43333333,-0.7,JYPE,all,dual
STRIPE82-0052,STRIPE82-0052,STRIPE82,STRIPE82_0052,2:21:44,+00:42:00,35.43333333,0.7,JYPE,all,dual
STRIPE82-0053,STRIPE82-0053,STRIPE82,STRIPE82_0053,2:27:24,-0:42:00,36.85,-0.7,JYPE,all,dual
STRIPE82-0057,STRIPE82-0057,STRIPE82,STRIPE82_0057,2:38:44,-0:42:00,39.68333333,-0.7,JYPE,all,dual
STRIPE82-0058,STRIPE82-0058,STRIPE82,STRIPE82_0058,2:38:44,+00:42:00,39.68333333,0.7,JYPE,all,dual
STRIPE82-0059,STRIPE82-0059,STRIPE82,STRIPE82_0059,2:44:25,-0:42:00,41.10416667,-0.7,JYPE,all,dual
STRIPE82-0060,STRIPE82-0060,STRIPE82,STRIPE82_0060,2:44:25,+00:42:00,41.10416667,0.7,JYPE,all,dual
STRIPE82-0062,STRIPE82-0062,STRIPE82,STRIPE82_0062,2:50:05,+00:42:00,42.52083333,0.7,JYPE,all,dual
STRIPE82-0063,STRIPE82-0063,STRIPE82,STRIPE82_0063,2:55:45,-0:42:00,43.9375,-0.7,JYPE,all,dual
STRIPE82-0066,STRIPE82-0066,STRIPE82,STRIPE82_0066,3:01:25,+00:42:00,45.35416667,0.7,JYPE,all,dual
STRIPE82-0068,STRIPE82-0068,STRIPE82,STRIPE82_0068,3:07:05,+00:42:00,46.77083333,0.7,JYPE,all,dual
STRIPE82-0069,STRIPE82-0069,STRIPE82,STRIPE82_0069,3:12:45,-0:42:00,48.1875,-0.7,JYPE,all,dual
STRIPE82-0074,STRIPE82-0074,STRIPE82,STRIPE82_0074,3:24:06,+00:42:00,51.025,0.7,JYPE,all,dual
STRIPE82-0077,STRIPE82-0077,STRIPE82,STRIPE82_0077,3:35:26,-0:42:00,53.85833333,-0.7,JYPE,all,dual
STRIPE82-0078,STRIPE82-0078,STRIPE82,STRIPE82_0078,3:35:26,+00:42:00,53.85833333,0.7,JYPE,all,dual
STRIPE82-0079,STRIPE82-0079,STRIPE82,STRIPE82_0079,3:41:06,-0:42:00,55.275,-0.7,JYPE,all,dual
STRIPE82-0080,STRIPE82-0080,STRIPE82,STRIPE82_0080,3:41:06,+00:42:00,55.275,0.7,JYPE,all,dual
STRIPE82-0081,STRIPE82-0081,STRIPE82,STRIPE82_0081,3:46:46,-0:42:00,56.69166667,-0.7,JYPE,all,dual
STRIPE82-0082,STRIPE82-0082,STRIPE82,STRIPE82_0082,3:46:46,+00:42:00,56.69166667,0.7,JYPE,all,dual
STRIPE82-0083,STRIPE82-0083,STRIPE82,STRIPE82_0083,3:52:26,-0:42:00,58.10833333,-0.7,JYPE,all,dual
STRIPE82-0085,STRIPE82-0085,STRIPE82,STRIPE82_0085,3:58:07,-0:42:00,59.52916667,-0.7,JYPE,all,dual
STRIPE82-0086,STRIPE82-0086,STRIPE82,STRIPE82_0086,3:58:07,+00:42:00,59.52916667,0.7,JYPE,all,dual
STRIPE82-0087,STRIPE82-0087,STRIPE82,STRIPE82_0087,20:01:53,-0:42:00,300.4708333,-0.7,JYPE,all,dual
STRIPE82-0088,STRIPE82-0088,STRIPE82,STRIPE82_0088,20:01:53,+00:42:00,300.4708333,0.7,JYPE,all,dual
STRIPE82-0089,STRIPE82-0089,STRIPE82,STRIPE82_0089,20:07:34,-0:42:00,301.8916667,-0.7,JYPE,all,dual
STRIPE82-0090,STRIPE82-0090,STRIPE82,STRIPE82_0090,20:07:34,+00:42:00,301.8916667,0.7,JYPE,all,dual
STRIPE82-0091,STRIPE82-0091,STRIPE82,STRIPE82_0091,20:13:14,-0:42:00,303.3083333,-0.7,JYPE,all,dual
STRIPE82-0092,STRIPE82-0092,STRIPE82,STRIPE82_0092,20:13:14,+00:42:00,303.3083333,0.7,JYPE,all,dual
STRIPE82-0093,STRIPE82-0093,STRIPE82,STRIPE82_0093,20:18:54,-0:42:00,304.725,-0.7,JYPE,all,dual
STRIPE82-0094,STRIPE82-0094,STRIPE82,STRIPE82_0094,20:18:54,+00:42:00,304.725,0.7,JYPE,all,dual
STRIPE82-0095,STRIPE82-0095,STRIPE82,STRIPE82_0095,20:24:34,-0:42:00,306.1416667,-0.7,JYPE,all,dual
STRIPE82-0099,STRIPE82-0099,STRIPE82,STRIPE82_0099,20:35:54,-0:42:00,308.975,-0.7,JYPE,all,dual
STRIPE82-0101,STRIPE82-0101,STRIPE82,STRIPE82_0101,20:41:34,-0:42:00,310.3916667,-0.7,JYPE,all,dual
STRIPE82-0105,STRIPE82-0105,STRIPE82,STRIPE82_0105,20:52:55,-0:42:00,313.2291667,-0.7,JYPE,all,dual
STRIPE82-0107,STRIPE82-0107,STRIPE82,STRIPE82_0107,20:58:35,-0:42:00,314.6458333,-0.7,JYPE,all,dual
STRIPE82-0108,STRIPE82-0108,STRIPE82,STRIPE82_0108,20:58:35,+00:42:00,314.6458333,0.7,JYPE,all,dual
STRIPE82-0109,STRIPE82-0109,STRIPE82,STRIPE82_0109,21:04:15,-0:42:00,316.0625,-0.7,JYPE,all,dual
STRIPE82-0110,STRIPE82-0110,STRIPE82,STRIPE82_0110,21:04:15,+00:42:00,316.0625,0.7,JYPE,all,dual
STRIPE82-0113,STRIPE82-0113,STRIPE82,STRIPE82_0113,21:15:35,-0:42:00,318.8958333,-0.7,JYPE,all,dual
STRIPE82-0114,STRIPE82-0114,STRIPE82,STRIPE82_0114,21:15:35,+00:42:00,318.8958333,0.7,JYPE,all,dual
STRIPE82-0115,STRIPE82-0115,STRIPE82,STRIPE82_0115,21:21:16,-0:42:00,320.3166667,-0.7,JYPE,all,dual
STRIPE82-0116,STRIPE82-0116,STRIPE82,STRIPE82_0116,21:21:16,+00:42:00,320.3166667,0.7,JYPE,all,dual
STRIPE82-0117,STRIPE82-0117,STRIPE82,STRIPE82_0117,21:26:56,-0:42:00,321.7333333,-0.7,JYPE,all,dual
STRIPE82-0118,STRIPE82-0118,STRIPE82,STRIPE82_0118,21:26:56,+00:42:00,321.7333333,0.7,JYPE,all,dual
STRIPE82-0120,STRIPE82-0120,STRIPE82,STRIPE82_0120,21:32:36,+00:42:00,323.15,0.7,JYPE,all,dual
STRIPE82-0121,STRIPE82-0121,STRIPE82,STRIPE82_0121,21:38:16,-0:42:00,324.5666667,-0.7,JYPE,all,dual
STRIPE82-0123,STRIPE82-0123,STRIPE82,STRIPE82_0123,21:43:56,-0:42:00,325.9833333,-0.7,JYPE,all,dual
STRIPE82-0126,STRIPE82-0126,STRIPE82,STRIPE82_0126,21:49:36,+00:42:00,327.4,0.7,JYPE,all,dual
STRIPE82-0129,STRIPE82-0129,STRIPE82,STRIPE82_0129,22:00:57,-0:42:00,330.2375,-0.7,JYPE,all,dual
STRIPE82-0130,STRIPE82-0130,STRIPE82,STRIPE82_0130,22:00:57,+00:42:00,330.2375,0.7,JYPE,all,dual
STRIPE82-0133,STRIPE82-0133,STRIPE82,STRIPE82_0133,22:12:17,-0:42:00,333.0708333,-0.7,JYPE,all,dual
STRIPE82-0134,STRIPE82-0134,STRIPE82,STRIPE82_0134,22:12:17,+00:42:00,333.0708333,0.7,JYPE,all,dual
STRIPE82-0136,STRIPE82-0136,STRIPE82,STRIPE82_0136,22:17:57,+00:42:00,334.4875,0.7,JYPE,all,dual
STRIPE82-0138,STRIPE82-0138,STRIPE82,STRIPE82_0138,22:23:37,+00:42:00,335.9041667,0.7,JYPE,all,dual
STRIPE82-0141,STRIPE82-0141,STRIPE82,STRIPE82_0141,22:34:58,-0:42:00,338.7416667,-0.7,JYPE,all,dual
STRIPE82-0142,STRIPE82-0142,STRIPE82,STRIPE82_0142,22:34:58,+00:42:00,338.7416667,0.7,JYPE,all,dual
STRIPE82-0143,STRIPE82-0143,STRIPE82,STRIPE82_0143,22:40:38,-0:42:00,340.1583333,-0.7,JYPE,all,dual
STRIPE82-0145,STRIPE82-0145,STRIPE82,STRIPE82_0145,22:46:18,-0:42:00,341.575,-0.7,JYPE,all,dual
STRIPE82-0147,STRIPE82-0147,STRIPE82,STRIPE82_0147,22:51:58,-0:42:00,342.9916667,-0.7,JYPE,all,dual
STRIPE82-0148,STRIPE82-0148,STRIPE82,STRIPE82_0148,22:51:58,+00:42:00,342.9916667,0.7,JYPE,all,dual
STRIPE82-0149,STRIPE82-0149,STRIPE82,STRIPE82_0149,22:57:38,-0:42:00,344.4083333,-0.7,JYPE,all,dual
STRIPE82-0151,STRIPE82-0151,STRIPE82,STRIPE82_0151,23:03:18,-0:42:00,345.825,-0.7,JYPE,all,dual
STRIPE82-0153,STRIPE82-0153,STRIPE82,STRIPE82_0153,23:08:59,-0:42:00,347.2458333,-0.7,JYPE,all,dual
STRIPE82-0155,STRIPE82-0155,STRIPE82,STRIPE82_0155,23:14:39,-0:42:00,348.6625,-0.7,JYPE,all,dual
STRIPE82-0157,STRIPE82-0157,STRIPE82,STRIPE82_0157,23:20:19,-0:42:00,350.0791667,-0.7,JYPE,all,dual
STRIPE82-0158,STRIPE82-0158,STRIPE82,STRIPE82_0158,23:20:19,+00:42:00,350.0791667,0.7,JYPE,all,dual
STRIPE82-0159,STRIPE82-0159,STRIPE82,STRIPE82_0159,23:25:59,-0:42:00,351.4958333,-0.7,JYPE,all,dual
STRIPE82-0160,STRIPE82-0160,STRIPE82,STRIPE82_0160,23:25:59,+00:42:00,351.4958333,0.7,JYPE,all,dual
STRIPE82-0162,STRIPE82-0162,STRIPE82,STRIPE82_0162,23:31:39,+00:42:00,352.9125,0.7,JYPE,all,dual
STRIPE82-0163,STRIPE82-0163,STRIPE82,STRIPE82_0163,23:37:19,-0:42:00,354.3291667,-0.7,JYPE,all,dual
STRIPE82-0165,STRIPE82-0165,STRIPE82,STRIPE82_0165,23:43:00,-0:42:00,355.75,-0.7,JYPE,all,dual
STRIPE82-0167,STRIPE82-0167,STRIPE82,STRIPE82_0167,23:48:40,-0:42:00,357.1666667,-0.7,JYPE,all,dual
STRIPE82-0169,STRIPE82-0169,STRIPE82,STRIPE82_0169,23:54:20,-0:42:00,358.5833333,-0.7,JYPE,all,dual
